"";"";"Amaranthaceae";"Asteraceae";"Batis";"Broussasia..flat.lobed.";"Cheirodendron";"Cibotium";"Cyperaceae";"Lycium";"Myrtaceae";"Nestegis";"Pandanus";"Poaceae";"Polyscias";"Prosopis";"Pteris";"Sida";"Taraxacum";"Urticaceae";"Coprosma";"Kadua";"Lycopodiella.cernua";"Myrsine";"Polypodium.pellucidum";"cf..Nothocestrum";"Cyrtandra";"Dodonaea";"Ilex";"Leptecophylla";"Broussasia..round.lobed.";"Chamaesyce";"Diospyros";"Hedyotis";"Isodendrion";"Solanum";"Xylosma";"Artemisia";"Gouania";"Euphorbia.type";"Lepidium";"Platydesma";"Aleurites";"Bobea";"Claoxylon";"Cyanea";"Melicope";"Colubrina";"Gleichenia";"Boerhavia";"Gunnera";"Phyllanthus";"Sesbania";"Waltheria";"Labordia";"Morinda";"Pritchardia";"Santalaceae";"Erythrina";"Acacia";"Rubus";"Tribulus";"Canthium";"Freycinetia";"Rubiaceae";"Lycopodium.venustulum"
"12";697;0,0473372779053255;0,017751478964497;0;0,00591715998816568;0,0532544378934911;0,171597632656805;0;0,00591715998816568;0,00591715998816568;0;0;0,00591715998816568;0;0;0,0236686389526627;0,0118343199763314;0,00591715998816568;0;0,00591715998816568;0;0,0118343199763314;0,278106508443787;0,0236686389526627;0,0887573958224852;0,0118343199763314;0;0,0118343199763314;0,017751478964497;0,0414201179171598;0;0;0;0;0;0,00591715998816568;0;0;0,017751478964497;0;0;0;0;0;0;0;0,00591715998816568;0,0887573958224852;0;0;0;0;0;0,00591715998816568;0,00591715998816568;0,017751478964497;0,00591715998816568;0;0;0;0;0;0;0;0
"13";720;0,049079755;0,018404908;0;0;0,067484663;0,128834356;0;0,030674847;0,006134969;0;0,036809816;0,024539877;0;0;0,061349693;0;0,036809816;0;0;0;0,012269939;0,251533742;0,006134969;0;0,018404908;0,012269939;0;0;0,036809816;0;0;0;0;0;0;0,036809816;0;0,006134969;0;0;0;0;0;0;0,012269939;0,006134969;0,128834356;0;0,006134969;0;0;0;0;0;0;0,006134969;0;0;0;0;0;0;0;0
"14";769;0,0341463409317073;0,0146341459707317;0;0,048780487902439;0,0585365848829268;0,229268292541463;0;0,0048780489902439;0,0097560979804878;0;0,0048780489902439;0,0097560979804878;0;0;0,0048780489902439;0;0,0048780489902439;0;0;0,0146341459707317;0;0,273170731453659;0,0146341459707317;0;0,11219512177561;0,0048780489902439;0,0146341459707317;0;0;0,0048780489902439;0;0,0048780489902439;0;0;0;0,0097560979804878;0;0,0341463409317073;0;0;0;0;0;0;0;0;0,0682926828634146;0;0,0048780489902439;0,0048780489902439;0;0;0;0;0,0097560979804878;0;0;0;0;0;0;0;0;0
"15";785,5;0,0542635659457364;0,0232558139767442;0;0,0697674419302326;0,100775193899225;0,131782945868217;0;0,0232558139767442;0;0;0,00775193799224806;0,00775193799224806;0;0;0,00775193799224806;0;0;0;0,00775193799224806;0;0;0,263565890736434;0,0232558139767442;0,0232558139767442;0,0697674419302326;0,0155038759844961;0,0155038759844961;0;0;0,00775193799224806;0;0;0;0;0,00775193799224806;0;0,00775193799224806;0;0;0;0;0;0;0;0,00775193799224806;0;0,0930232559069767;0;0;0;0;0;0;0;0,0232558139767442;0;0,00775193799224806;0;0;0;0;0;0;0
"16";792;0,092783505371134;0,0257731961030928;0;0,0309278351237113;0,092783505371134;0,092783505371134;0;0,0103092780412371;0,0103092780412371;0;0,00515463902061856;0,00515463902061856;0,00515463902061856;0;0,00515463902061856;0,0154639180618557;0,00515463902061856;0;0;0,0103092780412371;0;0,237113402948454;0,0360824741443299;0,0309278351237113;0,0876288663505155;0,00515463902061856;0,0257731961030928;0;0,0721649482886598;0;0;0,00515463902061856;0,0154639180618557;0;0,0103092780412371;0;0;0,00515463902061856;0;0;0;0;0;0;0;0,00515463902061856;0,0412371131649484;0;0;0;0;0;0;0;0,0103092780412371;0;0;0,00515463902061856;0;0;0;0;0;0
"17";803;0,344632767655367;0,0621468929378531;0;0;0,0225988699774011;0,0564971749435028;0;0;0,101694914898305;0;0,0903954799096045;0,135593219864407;0;0;0;0;0,0225988699774011;0;0;0;0;0,0282485879717514;0,0282485879717514;0;0;0;0,0338983049661017;0;0;0,00564971799435028;0;0;0;0;0;0;0;0,0112994349887006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0169491529830509;0;0;0;0,0338983049661017;0,00564971799435028;0;0;0;0
"18";809;0,533333332466667;0,0444444439555556;0;0,00555555599444444;0,00555555599444444;0,04999999995;0;0;0;0;0;0,111111110888889;0;0;0,00555555599444444;0,00555555599444444;0;0,00555555599444444;0,00555555599444444;0;0,0111111109888889;0,0444444439555556;0,0333333329666667;0;0,0333333329666667;0,0111111109888889;0;0;0;0,0111111109888889;0;0,00555555599444444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0611111109388889;0;0;0,00555555599444444;0;0;0;0;0,0111111109888889;0;0;0;0;0;0;0;0;0
"19";815;0,377777776111111;0,0444444437777778;0;0,0166666669166667;0,0555555557222222;0,216666665916667;0;0;0;0;0;0,0388888888055556;0;0;0,0166666669166667;0,0111111109444444;0,0111111109444444;0;0,00555555597222222;0,00555555597222222;0,00555555597222222;0,0222222218888889;0,0277777778611111;0,00555555597222222;0,0277777778611111;0,0166666669166667;0,0111111109444444;0;0;0;0;0;0;0;0,0111111109444444;0;0;0,00555555597222222;0;0;0;0;0;0;0;0;0,0555555557222222;0;0;0;0;0;0;0;0,00555555597222222;0;0;0,00555555597222222;0;0;0;0;0;0
"20";834;0,417142856165714;0,0228571429542857;0;0,0114285709771429;0,0285714289428571;0,0457142859085714;0;0,0114285709771429;0;0;0;0,188571428622857;0;0;0;0;0;0;0,00571428598857143;0,0114285709771429;0;0,0228571429542857;0,0171428569657143;0;0,0342857139314286;0,03999999992;0,00571428598857143;0,00571428598857143;0,0228571429542857;0,00571428598857143;0;0,0228571429542857;0;0;0,00571428598857143;0;0;0;0;0;0;0;0,00571428598857143;0;0;0;0,0342857139314286;0;0;0,00571428598857143;0;0,00571428598857143;0;0;0,0171428569657143;0;0;0,00571428598857143;0;0;0;0;0;0
"21";840;0,262711864262712;0,0254237290254237;0;0;0,00847457600847457;0,0762711860762712;0;0;0,0338983050338983;0,0254237290254237;0,059322034059322;0,0932203390932203;0;0;0,118644068118644;0;0;0;0,00847457600847457;0;0;0,0169491530169492;0,0847457630847458;0;0,00847457600847457;0,0169491530169492;0;0,00847457600847457;0;0;0;0;0;0;0,0254237290254237;0,059322034059322;0;0,00847457600847457;0;0;0;0;0;0;0;0;0,0423728810423729;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00847457600847457;0,00847457600847457;0;0
