"";"";"Acalypha";"Acnistus";"Alchornea";"Alnus";"Alternanthera";"Amaranthus";"Ambrosia";"Anemia";"Bursera";"Cactaceae";"Cecropia";"cf..Rhizophora";"Chamaesyce";"Conyza";"Croton";"Cryptocarpus";"Cuphea";"Cyathea";"Cyperaceae";"Fabaceae.undiff.";"Hedyosmum";"Hippomane";"Lycianthes";"Lycopodium";"Miconia";"Myrica";"Myrsine";"Myrtaceae";"Phyllanthus";"Pilea";"Plumbago";"Poaceae";"Podocarpus";"Polygonum";"Polypodium";"Scalesia.undiff.";"Scoparia";"Senna.obtusifolia";"Senna.undiff.";"Stachytarpheta";"Tournefortia.rufo.sericea";"Unknown..monolete.";"Utricularia";"Zanthoxylum";"Asteraceae.undiff.";"Ceiba";"Lantana";"Acanthaceae";"Lamiaceae.undiff.";"Platymiscium";"Apocynaceae";"cf..Cedrela";"Dodonaea.viscosa";"Sapindaceae.undiff.";"Rhynchosia";"Darwiniothamnus";"Cardiospermum";"Euphorbia";"Crotalaria";"Chiococca";"Solanum";"Portulaca";"Ipomoea";"Ilex";"Polygalaceae";"Cissus";"cf..Hippomane";"Scalesia.cf..S..affinis";"cf..Vitex";"Quercus";"cf..Melia";"Ericaceae";"Weinmannia";"cf..Gnaphalium";"Unknown.undiff.";"Scutia";"Piper";"Melia";"Meliaceae.undiff.";"Codia";"Aegiphila";"Pteridium";"cf..Gossypium";"Ochroma"
"11";-24;0,0105162520105163;0,00159337200159337;0,000318674000318674;0,00573613800573614;0,00541746300541746;0,00223072000223072;0,00509878900509879;0,000956023000956023;0,00318674300318674;0;0;0,000956023000956023;0,00223072000223072;0,00509878900509879;0,00223072000223072;0,000956023000956023;0;0,412045889412046;0,0105162520105163;0,000318674000318674;0,000318674000318674;0,00223072000223072;0,000637349000637349;0,196303378196303;0,00478011500478011;0,00159337200159337;0,000956023000956023;0,00191204600191205;0,000318674000318674;0,00446144000446144;0;0,0541746340541746;0,000637349000637349;0,000637349000637349;0,00159337200159337;0,012746973012747;0,000637349000637349;0;0;0,000318674000318674;0;0,236775016236775;0,00159337200159337;0,00414276600414277;0,000637349000637349;0;0,000318674000318674;0,000318674000318674;0,000318674000318674;0;0;0;0,000318674000318674;0;0;0,0012746970012747;0,000318674000318674;0,000318674000318674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"12";-21;0,0230489281152446;0,00283057001415285;0,000404367002021835;0,00242620301213101;0,00808734304043672;0,00080873400404367;0,00363930401819652;0,00323493701617468;0,00323493701617468;0;0;0,000404367002021835;0,00121310100606551;0,00404367202021836;0,00404367202021836;0,00080873400404367;0,00080873400404367;0,400727863003639;0,0113222810566114;0,00080873400404367;0;0,00323493701617468;0,000404367002021835;0,20703599003518;0,00646987503234937;0,00283057001415285;0,000404367002021835;0,00323493701617468;0,000404367002021835;0,00404367202021836;0,000404367002021835;0,0432672872163364;0,00161746900808735;0,00525677302628387;0;0,0105135460525677;0,00080873400404367;0,000404367002021835;0,000404367002021835;0,000404367002021835;0,00080873400404367;0,224019411120097;0,00202183601010918;0,00242620301213101;0,00444803902224019;0,000404367002021835;0,000404367002021835;0;0;0;0;0;0,00080873400404367;0;0;0,00121310100606551;0;0;0;0,000404367002021835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"13";-19;0,0369783411848917;0,00422609602113048;0,00105652400528262;0,00950871604754358;0,00845219204226096;0,00422609602113048;0,00845219204226096;0,00792393003961965;0,00739566803697834;0,00052826200264131;0;0;0,00105652400528262;0,00898045404490227;0,00369783401848917;0,00052826200264131;0,00052826200264131;0,256207080281035;0,00792393003961965;0,00158478600792393;0,00264131001320655;0,00898045404490227;0,00264131001320655;0,245641839228209;0,00686740603433703;0,00158478600792393;0,00211304801056524;0,00316957201584786;0,00052826200264131;0,00633914403169572;0;0,0581088222905441;0,00158478600792393;0,00316957201584786;0,00105652400528262;0,00898045404490227;0,00264131001320655;0,00052826200264131;0,00105652400528262;0,00105652400528262;0;0,259904914299525;0,00105652400528262;0,00686740603433703;0,00264131001320655;0;0,00052826200264131;0;0;0;0;0;0;0;0;0;0;0;0,00052826200264131;0;0;0,00052826200264131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14";-16;0,0353089531765448;0,00315258501576292;0,000630517003152585;0,0132408580662043;0,0239596471197982;0,00189155100945775;0,00504413602522068;0,00567465302837326;0,00504413602522068;0;0;0,000630517003152585;0,00189155100945775;0,0100882720504414;0,00819672104098361;0;0,000630517003152585;0,0788146283940731;0,0271122321355612;0,000630517003152585;0,000630517003152585;0,00693568703467843;0,000630517003152585;0,196090794980454;0,00756620403783102;0,000630517003152585;0,00315258501576292;0,00441361902206809;0;0,00882723804413619;0,000630517003152585;0,0857503154287516;0,00126103400630517;0,00567465302837326;0,00315258501576292;0,0100882720504414;0,000630517003152585;0;0,00126103400630517;0;0,000630517003152585;0,418663306093317;0,00315258501576292;0,0100882720504414;0,00441361902206809;0;0;0;0;0;0;0;0,00126103400630517;0;0;0,00126103400630517;0;0,000630517003152585;0;0,000630517003152585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15";-12;0,0252964429747036;0,0027667979972332;0,000790513999209486;0,00316205499683794;0,0134387349865613;0,00197628499802371;0,00316205499683794;0,00316205499683794;0,00395256899604743;0;0;0,000790513999209486;0,000790513999209486;0,00474308299525692;0,00118577099881423;0,000395256999604743;0,000395256999604743;0,397233201602767;0,026086956973913;0,000395256999604743;0,00118577099881423;0,0027667979972332;0,000395256999604743;0,0747035569252964;0,00474308299525692;0,000790513999209486;0,000395256999604743;0,00118577099881423;0,00158102799841897;0,0055335969944664;0;0,0426877469573122;0,00118577099881423;0,0027667979972332;0,00316205499683794;0,00830039499169961;0,00118577099881423;0;0,000395256999604743;0,000790513999209486;0,0027667979972332;0,343478260656522;0,00316205499683794;0,000790513999209486;0,00395256899604743;0;0,000790513999209486;0;0;0;0,000395256999604743;0;0;0;0;0;0;0,000395256999604743;0;0,000790513999209486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";-10;0,0278833969163498;0,00211237899366286;0,000844950997465147;0,00380228098859316;0,00802703797591889;0,00211237899366286;0,0046472329860583;0,00168990299493029;0,00126742699619772;0,000844950997465147;0;0,000422475998732572;0,00211237899366286;0,00380228098859316;0,00211237899366286;0;0;0,408534007774398;0,0185889309442332;0,000422475998732572;0,000844950997465147;0,0046472329860583;0;0,0595690748212928;0,0126742709619772;0,00168990299493029;0,00168990299493029;0,00253485399239544;0,000422475998732572;0,00295732999112801;0;0,049429657851711;0;0,00295732999112801;0,00126742699619772;0,00802703797591889;0,00126742699619772;0,000422475998732572;0,000422475998732572;0;0,00211237899366286;0,346007603961977;0,00295732999112801;0,00337980598986058;0,00337980598986058;0;0,000844950997465147;0;0;0;0;0;0;0;0;0,000422475998732572;0,000422475998732572;0;0;0;0;0;0,000422475998732572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17";-8;0,027016445;0,003915427;0,000783085;0,002349256;0,019185591;0,003132341;0,005090055;0,003523884;0,000391543;0;0;0,000391543;0,001957713;0,004306969;0,003132341;0;0,000391543;0,435395458;0,018010963;0,000391543;0;0,001957713;0,000783085;0,039154268;0,006656226;0;0,000783085;0;0,000391543;0,001957713;0;0,040328896;0;0,001566171;0,000391543;0,00587314;0;0;0,001174628;0;0,000783085;0,359436179;0,003132341;0,000391543;0,002740799;0;0,000783085;0;0;0;0;0;0,000391543;0;0;0,000783085;0;0;0;0,000391543;0,000391543;0;0;0,000391543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18";-6;0,0602968459397032;0,00463821899536178;0;0,0204081629795918;0,038961038961039;0,00649350599350649;0,00463821899536178;0,0120593689879406;0,00371057499628942;0;0;0;0,00649350599350649;0,0157699439842301;0,0102040819897959;0,000927643999072356;0,00185528799814471;0,434137290565863;0,0324675319675325;0;0,000927643999072356;0,00278293099721707;0;0,12615955487384;0,00927643799072356;0,00185528799814471;0,00463821899536178;0;0;0,00556586299443414;0;0,130797773869202;0;0,00556586299443414;0,000927643999072356;0,0204081629795918;0,000927643999072356;0;0,00185528799814471;0,000927643999072356;0;0,00556586299443414;0,00649350599350649;0,00556586299443414;0,00649350599350649;0;0,000927643999072356;0;0;0;0,000927643999072356;0;0,000927643999072356;0;0;0,00649350599350649;0;0;0;0;0;0;0,000927643999072356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19";-4;0,027234369;0,002685079;0,000383583;0,003452244;0,016877637;0,001917913;0,000767165;0,004219409;0,000767165;0;0;0;0,001917913;0,004219409;0,003068661;0;0,001150748;0,452243959;0,013041811;0,000383583;0,000767165;0,000383583;0,000383583;0,042961258;0,004219409;0;0;0,000767165;0,001150748;0,001534331;0;0,02301496;0;0,004602992;0,000383583;0,007288071;0,000767165;0;0,000767165;0,000767165;0,000383583;0,364019946;0,002301496;0,001917913;0,003452244;0;0;0;0;0;0;0;0,000383583;0;0;0,003068661;0;0;0;0,000383583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20";0;0,0234458259296625;0,00213143899360568;0,00035523999893428;0,00284191799147425;0,017761988946714;0,00319715799040853;0,00284191799147425;0,00035523999893428;0,00035523999893428;0;0;0;0,00248667899253996;0,00639431598081705;0,00142095899573712;0;0,00035523999893428;0,447246890658259;0,0209591469371226;0;0,00071047999786856;0,00071047999786856;0,00035523999893428;0,0365896978902309;0,00248667899253996;0,00035523999893428;0,00142095899573712;0,00071047999786856;0,00106571899680284;0,00106571899680284;0;0,0348134988955595;0,00035523999893428;0,00319715799040853;0,00071047999786856;0,00603907598188277;0;0;0;0,00106571899680284;0;0,362344581912966;0,00284191799147425;0,00142095899573712;0,00532859698401421;0;0;0;0;0;0,00071047999786856;0;0;0,00035523999893428;0;0,00213143899360568;0;0;0;0,00071047999786856;0,00035523999893428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
