"";"";"Cupressaceae";"Dacrycarpus.dacrydioides";"Dacrydium.cupressinum";"Fuscospora";"Halocarpus";"Knightia.excelsa";"Metrosideros.undiff";"Metrosideros.type2.";"Nestegis";"Phyllocladus";"Podocarpus";"Podocarpaceae.undiff";"Prumnopitys.ferruginea";"Prumnopitys.taxifolia";"Streblus";"Weinmannia.silivicola";"Pisonea.brunoniana";"Cordyline";"Geniostoma";"Rhopalostylis.sapida";"Vitex.lucens";"Aristotelia";"Ascarina.lucida";"Asteraceae.undiff.";"Coriaria";"Coprosma";"Dodonaea.viscosa";"c.f..Entelea";"c.f..Hebe";"Leptospermum.type";"Macropiper";"Melicope";"Melicytus.nz";"Muehlenbeckia";"Myrsine";"Pittosporum";"Pseudopanax.lessonii";"Pseudowintera";"Ripogonum.scandens";"Parsonsia";"Sicyos";"Tupeia";"Arthropodium";"Astelia";"Apiaceae.c.f..Scandia";"Apiaceae";"Brassicaceae";"Fabaceae";"Galium";"Small.Poaceae";"Large.Poaceae..Chionochloa.type.";"Urticaceae";"Xeronema.callistemon";"Callitriche";"Chenopodium.spp";"Taraxacum..Picrus..";"Lactuceae";"Plantago";"Stellaria";"Scrophulariaceae";"Myosotis";"Wahlenbergia";"c.f..Dianella";"c.f..Sarcocornia";"Cyperaceae.undiff.";"Carex.type";"Cyperus.type";"Baumea";"Eleocharis.type";"Gonocarpus";"Haloragis";"Isolepis.type";"Typha.orientalis";"Phormium";"Leptocarpus";"Pteridium.esculentum";"Cyathea.dealbata.type";"Dicksonia.squarrosa";"Blechnum.procera.type";"Histiopteris.incisa";"Microsorum.pustulatum";"Pyrrosia";"Monolete.fern.spores.undiff.";"Trilete.fern.spores.undiff.";"Anthoceros.spikey.type";"Leucopogon.fasciculatus";"Microsorum.novo.zelandiae";"Hepatic";"Pinus";"Plantago.lanceolata";"Taraxacum.type"
"11";600;0;0;0,0514705881544118;0,00735294102205882;0;0;0,0147058820441176;0;0;0,0294117650882353;0;0;0,00735294102205882;0,0220588240661765;0;0,0367647061102941;0;0,0955882352867647;0;0,0441176471323529;0;0;0;0;0,00735294102205882;0,0294117650882353;0;0;0;0,0588235291764706;0,0294117650882353;0;0,00735294102205882;0,00735294102205882;0;0;0;0;0,00735294102205882;0;0;0;0;0;0;0;0;0;0,0147058820441176;0,125000000375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,102941176308824;0,0955882352867647;0;0;0;0,00735294102205882;0;0,00735294102205882;0,0367647061102941;0,00735294102205882;0,0441176471323529;0;0;0;0;0;0;0,0147058820441176;0;0,0588235291764706;0;0;0;0;0;0,0294117650882353
"12";614;0;0;0,0484581499030837;0,00881057298237885;0,00881057298237885;0;0,00881057298237885;0;0,0176211449647577;0,00881057298237885;0;0,00881057298237885;0,0176211449647577;0;0,00881057298237885;0;0;0,00881057298237885;0;0,0264317179471366;0;0;0;0,00881057298237885;0;0,0264317179471366;0;0;0;0,00881057298237885;0,0176211449647577;0;0;0;0,061674008876652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0528634358942731;0,061674008876652;0;0;0;0,00881057298237885;0;0,0440528629118943;0,00881057298237885;0;0;0;0;0;0;0,149779735700441;0;0,00881057298237885;0,0176211449647577;0;0;0;0;0;0,0264317179471366;0,0176211449647577;0,0440528629118943;0;0,00881057298237885;0;0;0;0;0,140969162718062;0,0264317179471366;0,0792951538414097;0,00881057298237885;0;0;0;0;0
"13";627;0;0;0,08984375;0,0078125;0;0;0,015625;0;0,0234375;0,0234375;0,0078125;0,05078125;0;0;0;0;0;0,0234375;0;0,046875;0;0;0;0,0078125;0;0,03125;0;0;0,015625;0,03125;0,0703125;0;0;0;0,03125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0625;0,0234375;0;0;0;0;0;0,0390625;0;0;0;0;0;0;0;0,109375;0;0,015625;0,0078125;0;0,0078125;0;0;0;0,0390625;0,015625;0,015625;0;0;0;0,0078125;0;0;0,046875;0,0234375;0,109375;0;0;0;0;0;0
"14";636;0;0;0,022502250090009;0,0180018000720072;0;0;0,0270027001080108;0;0,0090009000360036;0,045004500180018;0;0,022502250090009;0;0;0;0;0;0,0630063012520252;0;0,0270027001080108;0;0;0;0;0;0,0090009000360036;0;0;0,0090009000360036;0,0990099013960396;0,108010801432043;0;0;0;0,0360036001440144;0;0;0;0;0,0090009000360036;0;0;0;0;0;0,0090009000360036;0;0;0;0,0270027001080108;0,0180018000720072;0;0;0;0;0;0,0090009000360036;0;0;0;0;0;0;0;0,135013501540054;0;0,0090009000360036;0,0270027001080108;0;0;0,0090009000360036;0;0;0,0090009000360036;0;0,045004500180018;0;0,00090009000360036;0;0;0;0;0,108010801432043;0,0630063012520252;0,0270027001080108;0;0;0;0;0;0
"15";644;0;0;0,0521312481042625;0,00306654400613309;0,00306654400613309;0;0,0153327200306654;0;0,0551977921103956;0,0214658080429316;0,00919963201839926;0,0122661760245324;0;0,00919963201839926;0;0;0;0,0521312481042625;0;0,0551977921103956;0;0;0,00306654400613309;0,00306654400613309;0;0,0122661760245324;0;0;0;0,0398650720797301;0,202391904404784;0;0;0;0,00919963201839926;0,0122661760245324;0,00613308801226618;0;0;0,00306654400613309;0;0;0;0;0;0;0;0;0;0,0306654400613309;0,0183992640367985;0,00919963201839926;0;0;0,00919963201839926;0;0,0153327200306654;0;0,00306654400613309;0;0;0;0;0;0,113462128226924;0,0245323520490647;0,0122661760245324;0;0,00306654400613309;0,00306654400613309;0,000306654000613308;0;0;0,0245323520490647;0;0,00919963201839926;0;0;0,00919963201839926;0;0;0;0,0643974241287948;0,0245323520490647;0,0122661760245324;0;0;0,033731984067464;0;0;0
"16";653;0;0;0,031339031;0;0,005698006;0;0,011396011;0;0,045584046;0,03988604;0;0,014245014;0;0;0;0;0;0,062678063;0;0,113960114;0;0;0,002849003;0,005698006;0;0,028490028;0;0;0,005698006;0,011396011;0,15954416;0;0,005698006;0;0,028490028;0,005698006;0;0;0;0;0;0;0;0;0;0,002849003;0;0;0;0,028490028;0,022792023;0;0,005698006;0;0,005698006;0;0,017094017;0;0;0;0;0;0;0;0,148148148;0;0,011396011;0,017094017;0;0;0;0,005698006;0;0,03988604;0;0,011396011;0;0;0;0,002849003;0;0;0,085470085;0;0,011396011;0;0,005698006;0;0;0;0
"17";976;0;0;0,0386249519227501;0,00772498998455002;0;0;0,0386249519227501;0;0,0617999228764002;0,0289687139420626;0,011587485976825;0,0154499809691;0,00386249499227501;0,00772498998455002;0,00386249499227501;0;0;0,0772499028455002;0;0,14677481670645;0;0;0,0003862499992275;0;0;0,0386249519227501;0;0,00386249499227501;0;0,00386249499227501;0,227887214544226;0;0;0;0,0347624569304751;0,011587485976825;0,00772498998455002;0;0;0;0;0;0;0;0;0,00772498998455002;0;0;0;0,0154499809691;0;0,00386249499227501;0;0;0,0003862499992275;0;0,0003862499992275;0;0;0,00386249499227501;0;0;0;0;0,0617999228764002;0;0,00386249499227501;0,00386249499227501;0;0;0;0;0;0,0502124368995751;0;0,00772498998455002;0,00386249499227501;0;0;0;0;0;0,0617999228764002;0,00386249499227501;0;0;0,0003862499992275;0;0;0;0
"18";1117;0;0,00290951400581903;0,0814663951629328;0;0,0116380560232761;0;0,0261856270523713;0;0,0727378531454757;0,0174570850349142;0,0189118420378237;0,00581902801163806;0,00581902801163806;0,00290951400581903;0;0;0;0,0785568811571138;0;0,101832994203666;0;0;0,00290951400581903;0;0;0,0378236830756474;0;0;0;0,0116380560232761;0,197846960395694;0;0;0;0,0407331980814664;0,00872854201745708;0,0116380560232761;0,00290951400581903;0;0;0,00290951400581903;0;0;0;0;0;0;0;0;0,0145475710290951;0,0174570850349142;0,00872854201745708;0;0;0,00290951400581903;0,0145475710290951;0;0;0;0;0;0;0;0;0,0552807681105615;0,0174570850349142;0,00872854201745708;0;0;0;0;0;0;0,0407331980814664;0;0;0,00581902801163806;0,000290951000581902;0,0261856270523713;0;0;0;0,0349141690698283;0,00872854201745708;0,000290951000581902;0;0;0;0;0;0
"19";1293;0;0;0,113452188113452;0,00405186400405186;0;0;0,0324149110324149;0;0,0567260940567261;0,0202593190202593;0,0162074550162075;0,0182333870182334;0,0202593190202593;0,00405186400405186;0;0;0;0,133711507133712;0,00405186400405186;0,222852512222853;0,00405186400405186;0;0,00405186400405186;0,00405186400405186;0;0,060777958060778;0,00405186400405186;0;0;0,00405186400405186;0,0769854130769854;0;0,00405186400405186;0,000405186000405186;0,0486223660486224;0;0;0;0;0;0;0,00405186400405186;0;0;0;0,00405186400405186;0;0;0;0,0162074550162075;0,0121555920121556;0;0;0;0,000405186000405186;0;0,00405186400405186;0;0;0,00810372800810373;0;0,000405186000405186;0;0;0,0202593190202593;0;0;0;0;0;0;0;0;0,0162074550162075;0;0;0;0;0,0121555920121556;0;0,0121555920121556;0;0,0243111830243112;0,00810372800810373;0;0;0;0;0;0;0
"20";1412;0;0,00050025;0,137568784;0,002501251;0;0;0,015007504;0;0,065032516;0,052526263;0,005002501;0,032516258;0,005002501;0,010005003;0;0;0;0,12006003;0;0,190095048;0;0;0;0,00050025;0;0,060030015;0;0;0;0;0,090045023;0;0;0;0,065032516;0;0,00050025;0,00050025;0;0,00050025;0;0,005002501;0;0;0;0;0;0;0;0,005002501;0,00050025;0,005002501;0;0;0,00050025;0;0,010005003;0;0,00050025;0;0;0;0;0;0,015007504;0;0;0;0;0;0;0;0;0,030015008;0;0;0,005002501;0;0;0;0,00050025;0;0,060030015;0,010005003;0;0;0;0;0;0;0
"21";1592;0;0,000484027001936108;0,111326234445305;0,0193610840774443;0;0;0,0290416261161665;0;0,0242013550968054;0,0435624391742498;0,0242013550968054;0,0532429822129719;0,0242013550968054;0;0;0;0;0,116166505464666;0;0,22265246989061;0;0;0,000484027001936108;0,00484027101936108;0;0,0484027111936108;0,000484027001936108;0;0;0;0,0242013550968054;0;0;0;0,0435624391742498;0;0;0;0;0;0;0,00484027101936108;0;0,000484027001936108;0,00484027101936108;0;0;0,00484027101936108;0;0,0145208130580833;0;0,00968054203872217;0;0;0;0;0,000484027001936108;0;0;0;0;0;0;0;0,0145208130580833;0;0;0;0;0;0;0;0;0,0677637952710552;0,00484027101936108;0,00968054203872217;0;0;0,0193610840774443;0;0;0;0,0387221681548887;0,0145208130580833;0;0,000484027001936108;0;0;0;0;0
"22";1782;0;0;0,0794551649205448;0,0151343169848657;0;0;0,0227014759772985;0;0,0529701099470299;0,0302686339697314;0,0113507379886493;0,0264850549735149;0,0113507379886493;0,0151343169848657;0;0;0;0,0605372679394627;0;0,223231176776769;0;0;0,00378357899621642;0;0;0,0264850549735149;0;0;0;0,00756715899243284;0,124858115875142;0;0,00378357899621642;0;0,0302686339697314;0;0,0151343169848657;0;0;0,000378357999621642;0;0,000378357999621642;0;0,00378357899621642;0;0,00756715899243284;0;0;0;0,00756715899243284;0,0264850549735149;0;0,00378357899621642;0;0,00378357899621642;0;0,00378357899621642;0;0;0;0;0;0;0,000378357999621642;0,0151343169848657;0;0;0;0;0;0;0;0;0,0605372679394627;0;0,00378357899621642;0,0151343169848657;0;0,00756715899243284;0;0,00378357899621642;0;0,0529701099470299;0,0189178959810821;0,00378357899621642;0;0;0;0;0;0
"23";1840;0;0;0,08953168;0,017217631;0,006887052;0,003443526;0,017217631;0;0,04476584;0,010330579;0,003443526;0;0,010330579;0,027548209;0;0;0;0,099862259;0,006887052;0,320247934;0;0,003443526;0,003443526;0;0;0,010330579;0;0;0;0,010330579;0,086088154;0;0;0;0,006887052;0;0,003443526;0;0;0;0;0;0;0;0;0;0;0;0;0,020661157;0;0;0;0;0,003443526;0;0;0;0;0;0;0;0;0;0,003443526;0,020661157;0,003443526;0;0,000344353;0;0;0;0;0,048209366;0,000344353;0,010330579;0,003443526;0;0;0;0;0,006887052;0,092975207;0;0,003443526;0;0,000344353;0;0;0;0,000344353
