"";"";"Asteroideae";"Casuarina";"cf..Calystegia";"Cocos";"Commelina";"Cyperaceae";"Dicranopteris";"Hypolepis";"Microsorum";"Pandanus";"Persicaria";"Pinus";"Poaceae..smaller.50.";"Poaceae..larger.50.";"Sigesbeckia";"Spermatophyta.undiff.";"Thelypteridaceae";"Acalypha";"Angiopteris";"Fabaceae";"Ficus";"Hibiscus";"Ipomoea";"Lycopodiella.cernua";"Psidium";"Pteris";"Solanaceae";"Cichorioideae";"Colocasia";"Lamiaceae";"Myrtaceae";"Psilotum";"Sonchus";"Glochidion";"Polypodiaceae";"Urticaceae.Moraceae";"cf..Achyranthes";"Hibiscus.cf..H..australensis";"Pritchardia";"Aleurites";"Bidens";"Cyathea";"Myrsine";"Rhus";"Cyclophyllum";"Euphorbiaceae";"Homalanthus";"Timonius";"Trema";"Vigna";"Acrostichum";"Asplenium";"Allophylus";"Arecaceae.incertae.sedis";"Barringtonia";"Celtis";"cf..Psydrax";"Lycopodium.sp.";"Phyllanthus";"cf..Psychotria";"Dodonaea";"Elaeocarpus";"Macaranga";"Charpentiera";"Triumfetta";"Lygodium";"Pouteria";"Coprosma";"Claoxylon";"Jasminum";"Plumbago";"Guettarda";"Homalium";"Melicope";"Meryta";"Terminalia"
"11";476;0;0,0124069479627792;0;0,0124069479627792;0,00992555797022333;0,111662530665012;0,166253101501241;0,0893300247320099;0,014888336955335;0,0347394538957816;0,0173697269478908;0;0,126550867620347;0,0645161288064516;0;0,0124069479627792;0,0496277918511166;0;0,00744416897766749;0,00744416897766749;0,0173697269478908;0,00248138999255583;0;0,0397022328808933;0;0,00744416897766749;0,00744416897766749;0;0,00496277898511166;0;0;0,0322580649032258;0,00248138999255583;0;0;0,0347394538957816;0;0,00248138999255583;0,014888336955335;0,00248138999255583;0;0,0272952849181141;0;0;0;0,00496277898511166;0;0;0,00248138999255583;0,00744416897766749;0,0397022328808933;0;0;0,00248138999255583;0,00496277898511166;0;0;0;0,00248138999255583;0,00248138999255583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"12";515,5;0;0,0127118640254237;0;0,00423728800847458;0;0,161016949322034;0,127118644254237;0,0381355930762712;0,029661017059322;0,0254237290508475;0,00847457601694915;0;0,114406780228814;0,0889830511779661;0,00847457601694915;0,0211864410423729;0,0550847461101695;0;0,0169491530338983;0,0169491530338983;0,00847457601694915;0,00423728800847458;0;0,0254237290508475;0;0,00423728800847458;0;0;0,0127118640254237;0;0;0,0423728810847458;0;0;0;0,0932203391864407;0;0,00423728800847458;0,00847457601694915;0;0;0,0169491530338983;0;0;0,00423728800847458;0;0,00423728800847458;0;0;0;0,0127118640254237;0,00423728800847458;0;0;0,00423728800847458;0,0127118640254237;0;0,00423728800847458;0;0,00423728800847458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"13";560;0;0,0144927539710145;0;0,0086956519826087;0;0,153623187692754;0,107246376785507;0,168115941663768;0,0376811589246377;0,0347826089304348;0,0144927539710145;0,0028985509942029;0,127536231744928;0,0144927539710145;0;0,0057971009884058;0,0608695648782609;0;0,0086956519826087;0,0028985509942029;0,0028985509942029;0;0;0,0028985509942029;0;0,028985506942029;0,0086956519826087;0;0,0086956519826087;0;0,0028985509942029;0,028985506942029;0,0028985509942029;0;0;0,0376811589246377;0,0028985509942029;0;0,0144927539710145;0;0;0,0028985509942029;0;0;0;0;0;0,0028985509942029;0;0;0,0695652168608696;0,0028985509942029;0;0;0,0086956519826087;0;0;0;0;0;0,0028985509942029;0,0028985509942029;0,0028985509942029;0;0;0;0;0;0;0;0;0;0;0;0;0
"14";620;0;0,00371747200743494;0;0,0111524160223048;0,00371747200743494;0,141263941282528;0,0966542751933085;0,066914498133829;0,0223048330446097;0,0892193311784387;0,00371747200743494;0,00371747200743494;0,0855018591710037;0,0631970261263941;0,00371747200743494;0,00371747200743494;0,0334572490669145;0,00371747200743494;0;0,00371747200743494;0,0371747210743494;0;0;0,0371747210743494;0;0,0260223050520446;0,00371747200743494;0;0,00371747200743494;0;0;0,0446096650892193;0;0;0;0,0557620821115242;0,00371747200743494;0;0,0111524160223048;0;0;0,0185873610371747;0,00371747200743494;0;0;0;0;0;0;0;0,100371747200743;0;0;0;0;0;0;0;0;0;0;0,00371747200743494;0,00371747200743494;0,00371747200743494;0,00371747200743494;0;0;0;0;0;0;0;0;0;0;0
"15";657;0;0,0204778160614334;0;0,0136518770409556;0,00341296901023891;0,102389078307167;0,0819112632457338;0,0887372012662116;0,0204778160614334;0,105802048317406;0,00341296901023891;0,00341296901023891;0,0546075091638225;0,0511945391535836;0;0,0102389080307167;0,0409556311228669;0,0102389080307167;0,00341296901023891;0;0;0;0;0,0443686011331058;0;0,0238907850716724;0,0102389080307167;0;0;0;0,00341296901023891;0,0204778160614334;0;0;0;0,0409556311228669;0;0;0,0170648460511945;0,00341296901023891;0;0;0;0;0;0,00341296901023891;0;0;0;0;0,180887372542662;0,00341296901023891;0,00341296901023891;0;0,00682593902047782;0;0;0,00341296901023891;0,00341296901023891;0;0;0;0,00682593902047782;0,00341296901023891;0;0,00341296901023891;0,00341296901023891;0;0;0;0;0;0;0;0;0
"16";706;0;0,00423728800847458;0;0,00423728800847458;0,00423728800847458;0,122881356245763;0,0550847461101695;0,0254237290508475;0,00847457601694915;0,0974576271949153;0,0254237290508475;0;0,0805084751610169;0,0211864410423729;0;0,0338983050677966;0,0338983050677966;0,00847457601694915;0,00423728800847458;0;0,00423728800847458;0,00423728800847458;0,00423728800847458;0,0593220341186441;0;0,0423728810847458;0,00423728800847458;0;0;0;0;0,0169491530338983;0;0;0;0,0805084751610169;0;0;0,0338983050677966;0;0;0,0550847461101695;0;0,00423728800847458;0,00423728800847458;0,0127118640254237;0;0,00423728800847458;0,0127118640254237;0;0,0338983050677966;0,00847457601694915;0;0,0169491530338983;0,0254237290508475;0,00847457601694915;0;0,00847457601694915;0;0;0,00423728800847458;0;0,0127118640254237;0,00423728800847458;0,00423728800847458;0;0;0;0;0;0;0;0;0;0;0
"17";768;0;0;0;0,0210084030210084;0;0,0336134450336134;0,00420168100420168;0,0840336130840336;0;0,138655462138655;0;0;0,0210084030210084;0,00420168100420168;0;0,0210084030210084;0,012605042012605;0,0588235290588235;0;0;0;0;0;0,159663866159664;0;0,0294117650294118;0;0;0;0;0;0;0;0;0;0,0756302520756302;0;0;0,0672268910672269;0;0;0,0672268910672269;0,00840336100840336;0,0210084030210084;0,00420168100420168;0,00840336100840336;0;0;0,0462184870462185;0;0,0462184870462185;0,00840336100840336;0;0,012605042012605;0,0168067230168067;0,0168067230168067;0;0;0,00420168100420168;0;0;0;0;0;0,00420168100420168;0;0;0,00420168100420168;0;0;0;0;0;0;0;0
"18";884;0;0,00896860997309417;0;0,0269058299192825;0;0,00896860997309417;0,00896860997309417;0,0717488787847534;0,00448430498654709;0,0807174887578475;0;0;0,00896860997309417;0;0;0,00896860997309417;0,00896860997309417;0,0313901349058296;0;0;0,0179372199461883;0;0;0,251121075246637;0;0,0582959638251121;0;0;0;0;0,00448430498654709;0;0;0,00448430498654709;0;0,00896860997309417;0;0;0,0672645737982063;0;0;0,103139012690583;0;0,0448430488654709;0;0;0;0;0,0582959638251121;0;0,0134529149596413;0,00448430498654709;0;0,00448430498654709;0,0224215249327354;0,00448430498654709;0;0;0;0;0;0;0,0313901349058296;0,0134529149596413;0;0;0;0;0,00448430498654709;0,00896860997309417;0,00448430498654709;0;0;0;0;0
"19";970;0;0;0;0,0355871888576512;0;0,00711743797153025;0;0,0640569397437722;0,00711743797153025;0,085409252658363;0;0;0,00355871898576512;0;0;0,0177935939288256;0;0,0177935939288256;0;0,00355871898576512;0,0142348749430605;0;0,00355871898576512;0,124555159501779;0;0,0889679716441281;0,00355871898576512;0;0;0;0;0,00355871898576512;0;0,00355871898576512;0;0,0106761569572954;0;0,00355871898576512;0,209964412160142;0;0;0,0782918146868327;0,00355871898576512;0,0320284698718861;0;0,0106761569572954;0;0;0,0782918146868327;0;0,00711743797153025;0,00355871898576512;0;0;0,0177935939288256;0,00711743797153025;0;0;0;0;0;0;0,0427046258291815;0;0;0;0;0;0;0,00355871898576512;0,00355871898576512;0,00355871898576512;0;0;0;0
"20";1014;0;0;0;0,053811659;0;0,013452915;0;0,049327354;0,004484305;0,058295964;0;0;0,004484305;0;0;0,00896861;0;0,02690583;0;0;0,004484305;0;0;0,188340807;0;0,121076233;0,004484305;0;0;0;0;0;0;0,004484305;0;0,049327354;0;0;0,130044843;0;0;0,103139013;0;0,02690583;0,004484305;0,00896861;0,004484305;0;0,044843049;0;0;0,00896861;0,004484305;0;0,004484305;0,004484305;0;0;0;0;0;0;0,049327354;0,00896861;0;0;0;0;0,004484305;0;0;0;0;0;0;0
"21";1046,5;0;0;0;0,0411522632057613;0;0,0164609050823045;0;0,0740740743703704;0,00411522602057613;0,0576131692880658;0;0;0,0164609050823045;0;0;0,0411522632057613;0,00823045304115227;0,0123456790617284;0,00823045304115227;0;0,00823045304115227;0;0;0,185185185925926;0;0,0534979422674897;0;0;0;0;0;0;0;0,0164609050823045;0;0,00411522602057613;0,00411522602057613;0,00411522602057613;0,0576131692880658;0;0;0,111111111555556;0,00411522602057613;0,0370370371851852;0,00411522602057613;0,00411522602057613;0,00823045304115227;0;0,0905349794526749;0;0,0164609050823045;0,00411522602057613;0;0,0329218111646091;0;0,00411522602057613;0;0,00411522602057613;0;0;0;0;0,0123456790617284;0,0205761321028807;0;0;0,00823045304115227;0;0;0,0123456790617284;0;0;0,00411522602057613;0,00411522602057613;0,00411522602057613;0
"22";1076,5;0;0;0;0,0234375;0;0,00390625;0;0,0390625;0,00390625;0,015625;0;0;0,0078125;0;0;0,015625;0;0,015625;0;0;0,015625;0;0;0,2890625;0;0,07421875;0;0;0;0;0;0;0;0,0078125;0;0,0234375;0;0,00390625;0,12890625;0;0;0,1484375;0;0,01171875;0;0;0,00390625;0;0,05078125;0;0,00390625;0,00390625;0;0,02734375;0;0,0078125;0;0;0;0;0;0;0,05859375;0,01171875;0,00390625;0;0;0;0;0;0;0;0;0;0;0
"23";1124;0;0;0;0,0188679250188679;0;0,00471698100471698;0;0,0424528300424528;0,00471698100471698;0,0613207550613208;0;0;0;0;0;0,0141509430141509;0,0235849060235849;0,0283018870283019;0,0141509430141509;0;0,00943396200943396;0;0;0,179245283179245;0;0,0613207550613208;0;0;0;0;0;0;0;0,00471698100471698;0;0,0235849060235849;0;0;0,0943396230943396;0;0;0,0754716980754717;0;0,0330188680330189;0;0,00943396200943396;0,00943396200943396;0;0,0518867920518868;0;0,0707547170707547;0,00943396200943396;0,00471698100471698;0,0235849060235849;0;0,00943396200943396;0;0;0;0;0;0;0,0990566040990566;0,00943396200943396;0;0;0;0,00471698100471698;0;0,00471698100471698;0;0;0;0;0;0
"24";1176;0;0;0;0,037037036962963;0;0,037037036962963;0;0,124999999875;0,00462962999537037;0,0416666669583333;0;0;0;0;0;0,0416666669583333;0;0,00925925899074074;0,0231481479768519;0;0;0;0;0,087962962912037;0;0,0787037039212963;0,00462962999537037;0;0;0;0;0;0;0;0;0,0648148149351852;0;0,00925925899074074;0,0694444439305555;0;0;0,0648148149351852;0,00462962999537037;0,0601851849398148;0;0,00462962999537037;0,00925925899074074;0;0,134259258865741;0;0,0277777779722222;0;0;0,00925925899074074;0;0;0;0;0;0;0;0;0,0138888889861111;0,00925925899074074;0;0;0;0;0;0,0185185189814815;0;0;0;0;0;0,00925925899074074
"25";1216,5;0;0;0;0;0;0,0162601629837398;0;0,0772357719227642;0,00406504099593496;0,0406504069593496;0;0;0,00406504099593496;0;0;0,0284552849715447;0;0,0162601629837398;0,00406504099593496;0;0,0121951219878049;0;0;0,256097560743902;0;0,0569105689430894;0;0;0;0;0;0;0;0,00406504099593496;0;0,0243902439756098;0;0,00406504099593496;0,0569105689430894;0;0;0,117886178882114;0;0,0203252029796748;0;0,00813008099186992;0,00813008099186992;0;0,109756097890244;0;0,00813008099186992;0,0203252029796748;0,0121951219878049;0,0121951219878049;0;0,00813008099186992;0;0;0;0;0;0;0,00813008099186992;0,0284552849715447;0;0;0;0;0,00813008099186992;0,00813008099186992;0;0;0,00813008099186992;0,00813008099186992;0;0
"26";1281;0;0,00362318800724638;0;0,0253623190507246;0;0,0398550720797101;0;0,177536232355072;0,00724637701449275;0,0217391300434783;0;0;0;0;0;0,0181159420362319;0,0108695650217391;0;0,00724637701449275;0;0,0108695650217391;0;0;0,148550725297101;0;0,159420290318841;0,00362318800724638;0;0;0;0;0;0;0,00362318800724638;0;0,0144927540289855;0;0,00362318800724638;0,0217391300434783;0;0;0,155797101311594;0;0,00724637701449275;0;0;0;0;0,0217391300434783;0;0,0144927540289855;0,0144927540289855;0;0,0543478261086957;0,00362318800724638;0;0;0;0;0;0;0;0,0144927540289855;0,0326086960652174;0;0;0;0;0;0,00362318800724638;0;0;0;0;0;0
"27";1321;0;0;0;0;0;0,0441176468676471;0,00980392197058823;0,313725489058824;0,00980392197058823;0;0;0;0,00490196098529412;0;0;0,00980392197058823;0,0441176468676471;0;0;0;0;0;0;0,176470587470588;0;0,161764705514706;0;0;0;0;0;0;0;0;0;0,00980392197058823;0;0;0,0539215688382353;0;0;0,122549019632353;0;0;0;0;0;0;0;0;0,00980392197058823;0;0;0,0147058819558824;0;0;0;0;0;0;0,00490196098529412;0;0;0,00980392197058823;0;0;0;0;0;0;0;0;0;0;0;0
