"";"";"Amaranthaceae";"Anthoceros";"Apium.prostratum";"Aspleniaceae";"Asteroideae.undiff.";"Callitriche";"Calystegia";"Carex";"Coprosma";"Cordyline";"Coriaria";"Cyathea";"Dacrydium.cupressinum";"Dodonaea";"Eleocharis";"Euphorbia";"Geranium.retrorsum.group";"Juncus";"Pinus";"Poaceae..smaller.50.";"Poaceae..larger.50.";"Pteridium.esculentum";"Sonchus.cf..S..kirkii";"Trifolium";"Ulex.europaeus";"Brassicaceae";"Fuscospora";"Lycopodium.scariosum";"Myriophyllum";"Ophioglossum";"Pteris.tremula";"Rumex";"Selaginella.kraussiana";"Spermatophyta.undiff.";"Typha.orientalis";"Bryosporis.problematicus";"cf..Hydrocotyle";"Dacrycarpus.dacrydioides";"Haloragis";"Histiopteris.incisa";"Microsorum";"Paesia";"Prumnopitys.ferruginea";"Psilotum";"Ranunculus";"Schizaea";"Veronica";"Fabaceae.undiff.";"Leptospermum";"Metrosideros";"Podocarpaceae.undiff.";"Sigesbeckia.orientalis";"Urticaceae";"Phyllocladus";"Rhopalostylis.sapida";"Blechnaceae";"Hymenophyllaceae";"Polygonum";"Pseudopanax.arboreus";"Phormium";"Pellaea";"Solanum";"Oxalis";"Ascarina.lucida";"Muehlenbeckia";"Hypolepis";"Cyperus";"Colocasia";"Melicytus";"Nestegis";"Pittosporum";"Freycinetia";"Prumnopitys.taxifolia";"Pyrrosia";"Sophora";"Thelypteridaceae";"Agathis.australis";"Dicksonia";"Knightia";"Laurelia";"Libocedrus";"Liliaceae";"Piper";"Vitex.lucens";"Elaeocarpus";"Melicope";"Myrsine";"Geniostoma";"Olearia.colensoi";"Phlegmariurus.varius";"Weinmannia";"Aristotelia";"Myoporum";"Astelia";"Neomyrtus.type";"Parsonsia";"Syzygium";"cf..Quintinia"
"11";296,5;0;0,0651558070651558;0;0;0;0;0;0,0708215300708215;0;0,0113314450113314;0,00566572200566572;0,0453257790453258;0,0113314450113314;0;0,00566572200566572;0;0,00283286100283286;0;0;0,0311614730311615;0;0,671388102671388;0,00849858400849859;0;0;0;0;0,00283286100283286;0;0;0,00283286100283286;0;0;0,00283286100283286;0,00283286100283286;0,00283286100283286;0;0;0,00849858400849859;0,00566572200566572;0,00566572200566572;0,00849858400849859;0,00283286100283286;0;0;0;0;0;0;0;0,00566572200566572;0,00849858400849859;0;0;0,00849858400849859;0;0;0,00283286100283286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"12";334;0;0,038327525923345;0;0;0,00348432099303136;0;0;0,167247386665505;0;0,00348432099303136;0,00696864098606272;0,0452961669094077;0,00696864098606272;0;0,00696864098606272;0;0;0;0;0,00696864098606272;0;0,668989545662021;0,00696864098606272;0;0;0,00348432099303136;0;0;0;0;0;0;0;0;0,0104529619790941;0;0;0;0,00696864098606272;0;0;0;0;0;0;0;0;0;0;0;0,00696864098606272;0,00348432099303136;0;0;0,00348432099303136;0;0;0;0;0;0;0,00348432099303136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"13";360;0;0,071969697;0;0;0;0;0;0,111742424;0;0;0,035984848;0,071969697;0,001893939;0;0;0;0,003787879;0;0;0,005681818;0;0,615530303;0,013257576;0;0;0;0;0,001893939;0;0,001893939;0,007575758;0;0;0;0,009469697;0,003787879;0;0;0,005681818;0,003787879;0;0,013257576;0;0;0;0;0;0;0;0;0;0,003787879;0,003787879;0;0,003787879;0;0;0,007575758;0;0;0;0;0,001893939;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14";384;0;0,0460122699539877;0;0;0;0;0;0,0736196319263804;0,00306748499693252;0,00306748499693252;0,00920245399079755;0,0521472389478528;0,0184049079815951;0;0;0;0;0;0;0,00306748499693252;0;0,696319017303681;0,00613496899386503;0;0;0,0153374229846626;0;0;0;0;0,00613496899386503;0;0;0;0,0214723929785276;0;0;0;0,00613496899386503;0;0;0;0;0;0;0;0;0,00306748499693252;0,00306748499693252;0,00613496899386503;0,0184049079815951;0;0,00306748499693252;0;0,00306748499693252;0;0;0,00306748499693252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15";405,5;0;0,154425612154426;0;0,00188323900188324;0;0;0;0,0885122410885122;0,00188323900188324;0;0,0376647830376648;0,094161959094162;0,0225988700225989;0;0;0;0,00753295700753296;0;0;0;0;0,450094162450094;0,0188323920188324;0;0;0;0;0;0;0,00188323900188324;0,0112994350112994;0;0;0,00188323900188324;0,0094161960094162;0;0;0,00188323900188324;0,0131826740131827;0,00753295700753296;0,00753295700753296;0,00753295700753296;0,00188323900188324;0;0;0,00188323900188324;0;0;0;0,00376647800376648;0;0,0094161960094162;0,0131826740131827;0,00188323900188324;0,00753295700753296;0;0;0,0131826740131827;0;0;0;0,00376647800376648;0;0,00188323900188324;0,00188323900188324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";442;0;0,0702341137892977;0;0;0;0;0;0,130434782608696;0;0,00668896297993311;0,0100334449698997;0,0267558529197324;0,0133779259598662;0;0,00334448198996655;0;0;0;0;0;0;0,558528426324415;0,00668896297993311;0;0;0,0100334449698997;0,00334448198996655;0,00334448198996655;0;0,00334448198996655;0,00334448198996655;0;0;0;0,0568561868294314;0,00668896297993311;0;0;0,0167224079498328;0,00334448198996655;0,00334448198996655;0;0;0;0;0,00334448198996655;0;0;0;0,00668896297993311;0;0;0;0;0,0133779259598662;0;0;0,030100333909699;0;0;0;0;0;0,00334448198996655;0,00334448198996655;0,00334448198996655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17";456;0;0,0260869570521739;0;0;0;0;0;0,173913043347826;0;0,013043478026087;0,0086956520173913;0,0521739131043478;0,0260869570521739;0;0;0;0;0;0;0;0;0,226086957452174;0,0086956520173913;0;0;0,0086956520173913;0;0;0;0;0,013043478026087;0;0;0;0,16956521733913;0,00434782600869565;0;0;0;0,013043478026087;0,0347826090695652;0,00434782600869565;0;0;0;0;0,0086956520173913;0;0;0,173913043347826;0,00434782600869565;0;0;0;0,0086956520173913;0;0;0,013043478026087;0;0;0;0;0;0,0086956520173913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18";469;0;0,0189393939242424;0;0;0;0;0;0,337121210651515;0;0,00757575796969697;0;0,0568181817727273;0,0227272729090909;0;0,00378787898484848;0;0;0;0;0;0;0,20075757519697;0,00378787898484848;0;0;0,00757575796969697;0,00378787898484848;0;0;0;0,00757575796969697;0;0;0;0,159090908363636;0,00378787898484848;0;0;0,00378787898484848;0,00378787898484848;0,0151515149393939;0;0;0;0;0;0,00378787898484848;0;0;0,0378787878484848;0,00378787898484848;0;0,0416666668333333;0;0,0265151518939394;0;0;0,0189393939242424;0;0;0;0;0;0;0;0;0,0113636359545455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19";485;0;0,00852272702556818;0;0;0;0;0;0,0625000001875;0;0,00284090900852273;0,0142045450426136;0,0198863640596591;0,0198863640596591;0;0;0;0;0;0;0,0170454550511364;0;0,352272728056818;0,00284090900852273;0;0;0,00568181801704545;0;0;0;0;0;0;0;0;0,244318182732955;0;0;0;0,00852272702556818;0;0,0113636360340909;0;0;0;0;0;0,0113636360340909;0;0;0,03125000009375;0;0,00284090900852273;0;0,00284090900852273;0,00852272702556818;0,0454545451363636;0;0;0;0,00852272702556818;0;0;0;0;0;0;0,09375000028125;0,00568181801704545;0,00284090900852273;0,0142045450426136;0,00284090900852273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20";603;0,00353356899293286;0;0,0106007069787986;0;0;0;0;0,0565371018869258;0,0141342759717314;0,02473498195053;0;0,0671378088657244;0,0318021199363958;0;0;0;0;0;0;0,00353356899293286;0;0,356890458286219;0,00353356899293286;0;0;0,0141342759717314;0,0141342759717314;0;0;0;0,00706713798586572;0;0;0;0,176678444646643;0;0;0;0;0;0,0318021199363958;0;0;0;0;0;0;0;0,0176678449646643;0,0459363959081272;0,00706713798586572;0;0;0;0,0176678449646643;0;0,0318021199363958;0;0;0;0;0;0;0;0;0;0,0388692579222615;0;0;0;0;0,00353356899293286;0,0106007069787986;0,00353356899293286;0,00353356899293286;0,00353356899293286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"21";1109;0,00205338800821355;0,00616016402464066;0,00205338800821355;0,00205338800821355;0;0;0;0,018480493073922;0,00616016402464066;0,0205338810821355;0,0102669400410678;0,0554414782217659;0,131416838525667;0;0;0;0;0;0;0,00205338800821355;0;0,0718685832874743;0;0;0;0;0,00821355203285421;0;0;0;0,00205338800821355;0;0;0,0123203290492813;0,041067762164271;0;0;0,0041067760164271;0;0;0,0143737170574949;0;0,00205338800821355;0,00616016402464066;0;0;0,0123203290492813;0;0,0041067760164271;0,361396305445585;0,0123203290492813;0;0,0041067760164271;0,0102669400410678;0,0205338810821355;0,0328542091314168;0;0;0;0,00616016402464066;0;0;0;0,00205338800821355;0,0041067760164271;0;0,0431211501724846;0;0;0,00616016402464066;0,00616016402464066;0,00205338800821355;0,00205338800821355;0;0;0;0,00821355203285421;0,00205338800821355;0,00205338800821355;0,00616016402464066;0,00205338800821355;0,0246406570985626;0,00205338800821355;0,0041067760164271;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"22";1615;0;0;0;0;0,00296735900890208;0;0;0,118694362356083;0;0,0148367950445104;0,00296735900890208;0,103857567311573;0,204747774614243;0;0;0;0;0;0;0;0;0,0148367950445104;0;0;0;0;0,00593471801780415;0;0;0;0,00296735900890208;0;0;0;0,038575668115727;0;0;0;0;0;0,0118694360356083;0;0,0118694360356083;0;0;0,00296735900890208;0,077151335231454;0;0,00593471801780415;0,255192878765579;0,0267062310801187;0;0;0,00296735900890208;0,0237388720712166;0;0;0;0;0,0326409500979229;0;0;0;0,00593471801780415;0;0;0,00296735900890208;0;0;0;0;0;0,00593471801780415;0;0;0,00296735900890208;0;0;0;0,00296735900890208;0;0,00593471801780415;0;0;0,00296735900890208;0,00593471801780415;0,00296735900890208;0;0;0;0;0;0;0;0;0;0;0
"23";2120;0;0;0;0,00571428598285714;0,00190476199428571;0;0;0,0323809519028571;0,00952380997142857;0,00761904797714286;0,0171428569485714;0,0514285708457143;0,230476189308571;0;0,0514285708457143;0;0;0;0;0,00380952398857143;0;0,0761904757714286;0;0;0;0;0,01333333296;0,00190476199428571;0;0;0,00761904797714286;0;0;0,00952380997142857;0,0247619049257143;0;0;0;0;0;0,00380952398857143;0;0,00571428598285714;0,00380952398857143;0;0;0,0380952378857143;0;0;0,171428570485714;0,0361904758914286;0;0,00380952398857143;0,00952380997142857;0,0247619049257143;0,0247619049257143;0;0;0,00380952398857143;0,0228571429314286;0;0;0;0;0,00190476199428571;0;0,0323809519028571;0;0,00190476199428571;0,0114285709657143;0,00190476199428571;0;0,00571428598285714;0;0;0,00380952398857143;0,00380952398857143;0;0;0,00571428598285714;0,00380952398857143;0,0152380949542857;0,00190476199428571;0,00380952398857143;0;0,00190476199428571;0,00380952398857143;0,00190476199428571;0,00190476199428571;0,00190476199428571;0,00190476199428571;0;0;0;0;0;0;0
"24";3123,5;0;0;0;0;0,00271002701355013;0;0;0,059620596298103;0,0243902441219512;0,059620596298103;0,0162601630813008;0,0650406503252033;0,143631436718157;0;0,00271002701355013;0;0;0;0;0,0108401080542005;0;0,0135501360677507;0;0;0;0;0,0108401080542005;0;0;0;0,0108401080542005;0;0;0,0243902441219512;0;0;0;0,00271002701355013;0;0;0,00813008104065041;0;0,0108401080542005;0,00542005402710027;0;0;0,0298102981490515;0;0,0298102981490515;0,222222223111111;0,040650407203252;0;0,00271002701355013;0,0108401080542005;0,040650407203252;0,0108401080542005;0;0;0;0,00271002701355013;0;0,00271002701355013;0;0,00813008104065041;0;0;0,0271002711355014;0;0;0,0298102981490515;0,0108401080542005;0;0;0;0;0;0,0108401080542005;0;0;0,0135501360677507;0;0,0108401080542005;0;0,00271002701355013;0;0;0;0,00542005402710027;0;0;0,00542005402710027;0,00542005402710027;0,00542005402710027;0;0;0;0;0
"25";4129;0;0;0,00233100200699301;0;0;0;0;0,011655012034965;0,0233100230699301;0,0209790210629371;0,00466200501398601;0,013986014041958;0,102564103307692;0;0;0;0;0;0;0,00233100200699301;0;0,00233100200699301;0;0;0;0;0,011655012034965;0;0;0;0;0;0;0,00233100200699301;0;0;0;0;0;0;0,00699300702097902;0;0,00699300702097902;0;0;0;0,0186480190559441;0;0,00699300702097902;0,594405595783217;0,016317016048951;0;0,00699300702097902;0,013986014041958;0,013986014041958;0,011655012034965;0;0;0;0,0186480190559441;0;0;0;0,00233100200699301;0,00466200501398601;0;0,00932400902797203;0;0;0,0186480190559441;0;0;0;0,00233100200699301;0;0;0,00699300702097902;0;0;0,00932400902797203;0;0;0,00233100200699301;0,00233100200699301;0;0,00233100200699301;0,00233100200699301;0;0;0;0,00699300702097902;0,00233100200699301;0,00233100200699301;0,00233100200699301;0,00466200501398601;0,00233100200699301;0,00233100200699301;0
"26";4687;0;0;0;0;0;0;0;0,0254237291016949;0,00423728801694915;0;0,00423728801694915;0,127118644508475;0,156779661627119;0;0;0;0;0;0;0;0;0,00423728801694915;0;0;0;0;0,0169491530677966;0,00423728801694915;0;0;0,0169491530677966;0;0;0,00423728801694915;0;0;0;0,00423728801694915;0;0;0,0084745760338983;0;0,0169491530677966;0,0127118640508475;0;0;0,00423728801694915;0,00423728801694915;0;0,135593220542373;0,0296610171186441;0;0,0084745760338983;0,0127118640508475;0,0762711863050848;0,0720338982881356;0,0127118640508475;0;0;0;0;0;0;0,0169491530677966;0,00423728801694915;0;0,0084745760338983;0;0;0,0423728811694915;0,0762711863050848;0;0;0;0;0;0,0084745760338983;0;0;0,0423728811694915;0;0,0254237291016949;0;0;0;0,00423728801694915;0;0;0;0;0;0,00423728801694915;0;0;0;0;0;0,00423728801694915
"27";4907,5;0;0;0,00176056300352113;0;0;0;0;0,0528169011056338;0,0105633800211268;0;0,00880281701760563;0,15669014131338;0,170774648341549;0,00176056300352113;0;0,00176056300352113;0;0;0;0,00176056300352113;0;0;0;0;0;0;0,0123239440246479;0,00176056300352113;0;0,00176056300352113;0,0193661970387324;0;0;0,014084507028169;0;0;0,00176056300352113;0;0;0;0,00176056300352113;0;0,00176056300352113;0,00352112700704225;0;0;0,0123239440246479;0;0;0,338028169676056;0,0123239440246479;0;0,00176056300352113;0,00880281701760563;0,0299295770598592;0,00880281701760563;0;0;0;0;0;0;0;0,0105633800211268;0,00352112700704225;0;0,00704225401408451;0;0;0,0176056340352113;0,0228873240457746;0;0,00176056300352113;0;0,00176056300352113;0;0,00704225401408451;0,00352112700704225;0;0;0;0,00704225401408451;0;0,0123239440246479;0;0,0123239440246479;0;0,00176056300352113;0;0;0;0,00528169001056338;0,00704225401408451;0,00176056300352113;0;0;0;0
