"";"";"Amaranthaceae";"Asteraceae.tubuliflorae";"Asteraceae.liguliflorae";"Cyperaceae";"Poaceae";"Pinus";"Artemisia";"Centaurea";"Cirsium.type";"Rosaceae";"Brassicaceae";"Apiaceae";"Morella.Corylus";"Cannabaceae.Ostrya";"Rumex";"Betula";"Fraxinus";"Oleaceae";"Salix";"Solanaceae";"Acacia";"Picea";"Juglans";"Rubiaceae";"CV.1";"Ericaceae";"Euphorbiaceae";"Fabaceae";"Moraceae";"Ficus.type";"Ilex";"Lamiaceae";"Alnus";"Verbenaceae";"CV.2";"Quercus";"Cerealia.type";"Zea.mays";"Carex";"Urticaceae";"Caryophyllaceae";"Sapotaceae.type";"Agavoideae";"Convolvulus"
"16";558;0,165354330834646;0,322834645677165;0,114173227885827;0,145669290854331;0,106299212893701;0,0787401569212598;0,0314960629685039;0;0;0,00393700799606299;0;0;0;0;0;0;0,00787401599212598;0;0;0;0,00393700799606299;0;0;0;0;0;0,00787401599212598;0;0,00393700799606299;0,00393700799606299;0;0,00393700799606299;0;0;0;0;0;0;0;0;0;0;0;0
"17";579;0,14965986414966;0,605442177605442;0,0204081630204082;0,0680272110680272;0,0680272110680272;0,0272108840272109;0,0204081630204082;0;0;0;0,0204081630204082;0,00680272100680272;0;0;0;0;0;0;0;0;0,00680272100680272;0;0;0;0;0;0;0,00680272100680272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18";596;0,02;0,55;0,02;0,01;0,2;0,03;0,03;0,01;0;0,02;0,02;0,03;0,02;0;0;0;0,01;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0
"19";766;0;0,371681415256637;0,185840707628319;0;0,079646017840708;0,00884955798230089;0,0176991149646018;0,0575221238849558;0,106194689787611;0,128318583743363;0;0,00442477899115044;0,00442477899115044;0,00442477899115044;0;0;0;0,00442477899115044;0;0;0;0;0;0;0,00884955798230089;0;0,0132743359734513;0;0;0;0;0;0;0,00442477899115044;0;0;0;0;0;0;0;0;0;0
"20";785,5;0,165137615165138;0,197247706197248;0,119266055119266;0,188073394188073;0,188073394188073;0,0963302750963303;0,0137614680137615;0;0;0,00458715600458716;0;0;0;0;0;0;0;0;0,00458715600458716;0;0;0;0;0;0;0;0;0,00458715600458716;0;0,0137614680137615;0;0;0;0;0;0;0;0,00458715600458716;0;0;0;0;0;0
"21";806;0,161157025322314;0,165289256330579;0,0909090911818182;0,214876033429752;0,0785123971570248;0,115702479231405;0,103305785206612;0,00413223100826446;0,00826446301652893;0;0,00413223100826446;0,00413223100826446;0,0123966940247934;0;0;0;0,00826446301652893;0;0;0;0,00826446301652893;0;0,00413223100826446;0;0;0;0;0;0;0,0123966940247934;0;0;0,00413223100826446;0;0;0;0;0;0;0;0;0;0;0
"22";855,5;0;0,782178218782178;0,039603960039604;0;0,118811881118812;0;0;0;0,019801980019802;0;0;0;0;0,00990099000990099;0;0;0,00990099000990099;0,00990099000990099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00990099000990099;0;0;0;0;0;0;0;0;0;0;0
"23";875;0,00423728800423729;0,86016949286017;0,029661017029661;0;0,0635593220635593;0,00423728800423729;0,00423728800423729;0;0;0;0,00847457600847457;0,00847457600847457;0,00423728800423729;0;0;0;0,00423728800423729;0;0,00423728800423729;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00423728800423729;0;0;0;0;0;0;0;0;0;0;0
"24";893,5;0,0346153848961538;0,461538460615385;0,04999999985;0,0115384619653846;0,307692307076923;0,00384615398846154;0,0423076918730769;0;0,00384615398846154;0,00384615398846154;0,0153846149538462;0,0192307689423077;0,00769230797692308;0,00384615398846154;0;0;0,00384615398846154;0,00384615398846154;0;0;0;0;0;0,00384615398846154;0;0;0,00384615398846154;0;0,00769230797692308;0,00769230797692308;0;0;0,00384615398846154;0;0;0;0;0;0;0;0;0;0;0
"25";939;0,0181818179818182;0,286363635713636;0,0272727269727273;0,0227272729772727;0,422727272577273;0,00909090899090909;0,0681818179318182;0;0;0;0,0136363639863636;0,0363636359636364;0,0227272729772727;0;0,00454545499545455;0;0;0;0;0;0;0;0;0;0;0;0,00454545499545455;0,00454545499545455;0;0;0;0;0,0363636359636364;0;0,00909090899090909;0,00909090899090909;0;0;0;0;0,00454545499545455;0;0;0
