"";"";"Apocynaceae";"Canarium";"Canavalia.Type";"Cunoniaceae";"Dacrycarpus";"Dilleniaceae";"Elaeocarpus";"Ilex";"Malvaceae..other";"Meliaceae";"Myrtaceae";"Palms";"Podocarpus";"Rhamnaceae";"Rubiaceae";"Rutaceae";"Sapindaceae";"Sapotaceae";"Terminalia.Type";"Acryanthes";"Araliaceae";"Arytera.Type";"Casuarina";"Dodonea";"Homalanthus.Exocoaria";"Legumes";"Lonicera.Type";"Macaranga.Mallotus";"Moraceae";"Neonauclea.Type";"Olacaceae.6p.triangle";"Pandandus.tectorius.Type";"Pandanus";"Pandanus.krauliensis.Type";"Proteaceae";"Psychotria";"Trema";"Type.13.Simaroubaceae";"Coprosma";"Alternanthera";"Amaranthaceae";"Apiacaeae";"Asteraceae.Type.A";"Asteraceae.Type.B";"Euphorbia";"Plantago";"Poaceae.70.um";"Portulaceae";"Hypolepis";"Polypodiaceae";"Treeferns";"Triletes.Other";"Blechnum";"Monolete.Other";"Monolete.Psilate";"Pteridium";"Calycosia";"Poaceae";"Rhizophoraceae";"Barringtoniaceae";"Cyperaceae";"Metroxylon";"Nymphoides.indica";"Ranunculaceae";"Typha";"Indeterminate.3C3P";"Indeterminate.Other";"Type.11"
"11";4258;0;0;0;0;0;0;0,0183293849266825;0,00733175597067298;0;0,00366587798533649;0,00366587798533649;0,0109976359560095;0;0;0,00733175597067298;0,0109976359560095;0;0;0;0;0;0;0,0329928998680284;0;0,109976359560095;0;0;0,0109976359560095;0;0,00733175597067298;0;0,0879810716480757;0;0,0219952639120189;0;0;0,0183293849266825;0;0;0;0,00733175597067298;0;0;0;0;0;0;0,00366587798533649;0;0,153966854384133;0,0366587778533649;0,00733175597067298;0;0,0659857997360568;0,0329928998680284;0;0;0,168630352325479;0;0;0,0290697668837209;0,0232558169069767;0,00872093296511627;0;0;0,0668604597325582;0,00290697698837209;0,0406976758372093
"12";4289;0,00200126800400254;0;0;0;0,00600380601200761;0,00400253700800507;0;0;0,0180114200360228;0,030019024060038;0;0,00400253700800507;0,00400253700800507;0;0,0140088760280178;0;0,00400253700800507;0;0;0;0;0;0,0800507491601015;0;0,416263811832528;0,00400253700800507;0;0;0,00400253700800507;0,0100063410200127;0;0;0,00200126800400254;0;0;0,00200126800400254;0;0;0;0;0;0;0,00800507501601015;0;0;0;0;0;0;0,180114198360228;0;0,0120076130240152;0;0,0460291810920584;0,0140088760280178;0;0;0,0220139550440279;0;0;0;0,0610820281221641;0,0366492130732984;0;0;0,0139616050279232;0,0017452010034904;0
"13";4322;0,008201058;0;0;0;0;0;0;0;0,019682537;0,016402117;0;0,004920635;0,006560846;0;0,016402117;0;0,003280423;0;0;0;0;0;0,067248679;0,001640212;0,35264554;0;0;0;0,001640212;0,003280423;0;0;0,008201058;0;0;0;0;0;0;0;0;0;0,013121689;0;0;0;0;0;0;0,196825372;0;0,011481479;0;0,088571426;0,032804235;0;0;0,031164016;0;0,001640212;0;0,051428574;0,039999999;0;0;0,022857141;0;0
"14";4371;0,00698598199301402;0;0;0,0116432999883567;0,00698598199301402;0,0116432999883567;0,00232866099767134;0;0,0116432999883567;0,020957948979042;0,00931464099068536;0,00698598199301402;0;0;0,00931464099068536;0,0395872309604128;0,00232866099767134;0;0,00698598199301402;0;0,00698598199301402;0,00698598199301402;0,0419158899580841;0,00465732099534268;0,123419051876581;0;0,00931464099068536;0,17464953282535;0,00465732099534268;0,0815031209184969;0;0,00931464099068536;0,013971965986028;0;0;0;0;0,00232866099767134;0;0;0;0;0,0116432999883567;0;0;0;0;0;0;0,0442445479557554;0,00232866099767134;0,00931464099068536;0;0,0884890959115109;0,0232866069767134;0;0;0,00931464099068536;0,00180831799819168;0,00232866099767134;0,00723327399276672;0,0289330929710669;0,0976491659023508;0,00361663699638336;0;0,0433996349566004;0;0
"15";4404;0,0165607040165607;0;0;0;0;0;0;0;0,026023963026024;0,0212923330212923;0;0,00946325900946326;0,00709744400709744;0;0,00946325900946326;0,00236581500236581;0;0;0;0;0;0;0,0851693490851693;0;0,317019170317019;0;0;0;0;0,0331214070331214;0;0;0,00946325900946326;0;0;0;0;0;0;0;0;0;0,0141948890141949;0;0;0;0;0;0;0,139583058139583;0;0,0189265190189265;0;0,0425846670425847;0,0307555930307556;0;0;0,0165607040165607;0;0;0;0,0390070930390071;0,0797872320797872;0;0;0,0797872320797872;0,00177305000177305;0
"16";4457;0,015203245;0;0;0;0,015203245;0;0;0;0,045609728;0,034207294;0;0,011402434;0,003800811;0;0,034207294;0;0,007601621;0;0;0;0;0;0,159634045;0;0,174837306;0;0;0,019004057;0;0;0;0;0,015203245;0;0;0,003800811;0;0,003800811;0;0;0;0;0,007601621;0;0;0;0;0;0;0,110223506;0;0,02280486;0;0,019004057;0,068414589;0;0;0,011402434;0;0;0;0,030219777;0,131868158;0;0;0,054945051;0;0
"17";4524;0,00261068801044275;0,00261068801044275;0;0,00783206103132824;0;0,0052213760208855;0,010442753041771;0,00261068801044275;0,0130534370522137;0,00783206103132824;0,00783206103132824;0,010442753041771;0,0052213760208855;0;0,0156641290626565;0,0261068821044275;0;0,00261068801044275;0,00261068801044275;0;0,00261068801044275;0,0287175671148703;0,0548244492192978;0,00261068801044275;0,125313004501252;0;0,00261068801044275;0,0835420543341682;0,010442753041771;0,0600458252401833;0;0,020885506083542;0,0130534370522137;0;0;0,0052213760208855;0;0,00261068801044275;0;0;0;0,0052213760208855;0,0339389431357558;0;0;0,00261068801044275;0;0;0;0,0913741073654964;0,00261068801044275;0,00783206103132824;0;0,0522137652088551;0,0287175671148703;0;0;0,0182748140730993;0;0;0,0111940300447761;0,0205223890820896;0,0802238703208955;0,00559701502238806;0;0,104477631417911;0;0
"18";4581,5;0,0528898579471101;0;0;0;0,00587665099412335;0,00587665099412335;0;0;0,01762994998237;0,0117533049882467;0,00587665099412335;0,00587665099412335;0,00587665099412335;0;0,0117533049882467;0,00587665099412335;0,00587665099412335;0;0,0235066029764934;0;0;0;0,0763964599236035;0;0,152792920847207;0;0;0,01762994998237;0,00587665099412335;0,0352599079647401;0;0;0,0117533049882467;0;0;0;0;0,00587665099412335;0;0;0;0,00587665099412335;0,0646431629353568;0;0;0;0;0;0;0,0940263959059736;0;0,0235066029764934;0;0,0117533049882467;0,0587665099412335;0;0;0,01762994998237;0;0;0,00763358899236641;0,0152671779847328;0,152671781847328;0;0;0,0801526559198473;0,00381679399618321;0
"19";4615;0,0257587280257587;0;0;0;0;0;0;0;0,0386380920386381;0,0386380920386381;0;0,019319042019319;0;0,0128793640128794;0;0,00643968100643968;0;0;0,019319042019319;0;0;0;0,0772761560772762;0;0,0450777700450778;0;0,00643968100643968;0,0128793640128794;0;0,0257587280257587;0;0;0,019319042019319;0;0;0;0;0;0;0;0;0,0128793640128794;0,0643968200643968;0;0;0;0;0;0;0,0837158420837158;0;0,0579571340579571;0;0,0257587280257587;0,0643968200643968;0;0,00643968100643968;0,0128793640128794;0;0,0128793640128794;0,0565371070565371;0,00706713800706714;0,116607793116608;0;0;0,123674924123675;0,00706713800706714;0
"20";4638,5;0,0277531419167406;0;0;0;0;0;0,0185020919444937;0;0,00925104997224685;0,0123347329629958;0,00925104997224685;0,0123347329629958;0,00616736498149791;0;0,0277531419167406;0;0;0;0,0154184159537448;0;0;0;0,0493389248519832;0;0,0801757497594728;0;0,00616736498149791;0,0123347329629958;0,00308368299074895;0,0832594187502217;0;0,0308368249074895;0,0154184159537448;0;0;0;0;0;0,00308368299074895;0;0;0,00308368299074895;0,067841016796477;0;0;0;0;0;0;0,0832594187502217;0;0,0246694589259916;0;0,061673650814979;0,0370041918889874;0;0;0,0246694589259916;0;0;0,0573613768279159;0,00764818397705545;0,126195047621415;0,00382409198852772;0;0,0803058997590823;0;0
"21";4675;0,0170852489658295;0;0;0;0;0,0102511479794977;0;0;0,0170852489658295;0,0034170489931659;0;0,0068340979863318;0;0,0034170489931659;0;0,0068340979863318;0,0034170489931659;0,0034170489931659;0,205022952589954;0;0;0;0,0273363879453272;0;0,263112775473774;0;0;0;0;0,0102511479794977;0;0;0,0136681939726636;0;0;0;0;0;0;0;0;0,0068340979863318;0,0751750718496499;0;0;0;0;0;0;0,0888433078223134;0;0,0136681939726636;0;0,0102511479794977;0,0410045909179908;0;0;0,0170852489658295;0;0;0,00835654498328691;0,0584958168830084;0,0557103018885794;0;0;0,0334261809331476;0;0
"22";4722;0;0;0;0;0;0,0112816900338451;0;0;0,0150422540451268;0,00376056301128169;0;0;0,00752112702256338;0,00376056301128169;0,00376056301128169;0;0;0;0,443746482331239;0;0;0;0,0263239440789718;0;0,0977746482933239;0;0;0;0;0,0112816900338451;0;0;0,00752112702256338;0;0;0;0;0;0;0;0;0;0,00752112702256338;0;0;0;0;0;0;0,0940140852820422;0;0,0789718312369155;0;0,0263239440789718;0,0940140852820422;0;0,00376056301128169;0;0;0,00376056301128169;0,00352112601056338;0,0211267610633803;0,00352112601056338;0;0;0,0316901360950704;0;0
"23";4873;0;0;0;0,00384589601922948;0;0,00384589601922948;0,00384589601922948;0;0,0115376910576885;0,00384589601922948;0,00769179103845895;0,00769179103845895;0;0;0,0153835830769179;0,0115376910576885;0;0;0,319209365596047;0;0;0;0,0153835830769179;0;0,0461507562307538;0;0;0,0307671731538359;0,00384589601922948;0,0153835830769179;0;0,0153835830769179;0,0115376910576885;0;0;0,00384589601922948;0;0;0;0;0;0;0,0115376910576885;0;0,00384589601922948;0;0;0;0;0,0884556214422781;0;0,0153835830769179;0;0;0,0846097444230487;0;0;0,0269212741346064;0;0,00384589601922948;0,00799999904;0,00533333302666667;0,0186666640933333;0,00266666701333334;0;0,199999972;0;0
