"";"";"Pandanus.tectorius";"Arecaceae";"Cocos.nucifera";"Liliaceae";"Urticaceae.Moraceae";"Cyperaceae";"Trilete.Psilate";"Monolete.Psilate";"Achrostichum.aureum";"Aspleniaceae";"Blechnaceae";"Dicranopteris";"Dryopteris";"Hypolepis";"Davallia.Histiopteris";"Polypodiaceae";"Macaranga.comp.";"Acalypha";"Premna";"Trema";"Glochidion.societales";"Homalium";"Erythrina.variegata";"Fabaceae";"Polygonaceae";"Sophora.tomentosa";"cf..Sapindus";"cf..Brassicaceae";"cf..Scaevola";"cf.Coprosma";"cf.Meryta";"cf..Pouteria";"Hernandia";"Euphorbiaceae";"Solanaceae";"Myrtaceae";"Tournefortia.argentea";"Timonius";"Triumfetta.procumbens";"Colocasia.esculenta";"Aleurites.moluccana";"Asteraceae.tubuliflorae";"Asteraceae.Liguliflorae";"Chenopodiaceae.pos..algae";"Poaceae..40.microns";"Poaceae..40.microns.1";"cf..Canna.indica";"cf..Calophyllum";"Labiatae";"Pteris";"Cyclosorus.interruptus";"Sphaerostephanos";"Comellina.diffusa";"cf..Morinda.citrifolia";"cf..Hedyotis";"cf..Psychotria";"cf..Apocynaceae";"Casuarina";"Barringtonia";"Ludwigia.peploides";"Hibiscus.tiliaceus";"Malvaceae";"Angiopteris";"Bryophytes..liverwort.";"Nothofagus.brassospora";"Pinus..exotic."
"11";719;0,215946844215947;0,00996677700996678;0;0;0,0199335550199336;0,0465116280465116;0,0697674420697674;0,152823920152824;0,30897010030897;0;0;0,00664451800664452;0,00664451800664452;0,00332225900332226;0,00332225900332226;0;0,0166112960166113;0;0;0;0,0199335550199336;0;0,00332225900332226;0;0;0,0199335550199336;0;0;0,013289037013289;0;0;0;0;0;0;0;0,00332225900332226;0,00332225900332226;0;0;0;0,00664451800664452;0;0;0,00332225900332226;0,00664451800664452;0,00996677700996678;0,00664451800664452;0;0,0431893690431894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"12";774;0,682432432;0,003378378;0;0;0,010135135;0;0,033783784;0,040540541;0,040540541;0;0;0;0,013513514;0;0,013513514;0,016891892;0,02027027;0;0;0,013513514;0,010135135;0,006756757;0;0;0;0;0;0;0;0,003378378;0;0;0;0;0;0;0,003378378;0,003378378;0;0;0;0,003378378;0;0,003378378;0;0;0;0,010135135;0;0,060810811;0;0;0;0;0;0;0;0;0;0;0;0;0,006756757;0;0;0
"13";852;0,58000000058;0,00666666700666667;0;0;0;0,01000000001;0;0,0633333330633333;0,15000000015;0;0;0;0;0,00333333300333333;0,0566666670566667;0,00666666700666667;0,0133333330133333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0166666670166667;0;0;0;0,00333333300333333;0;0;0;0;0;0,00333333300333333;0;0;0;0,00666666700666667;0;0,07000000007;0;0;0;0;0;0;0;0;0,00333333300333333;0;0;0,00333333300333333;0,00333333300333333;0;0;0
"14";937;0,725752507274247;0,0100334449899666;0;0;0,0133779259866221;0,00668896299331104;0,0167224079832776;0,0334448159665552;0,0535117059464883;0;0;0;0;0;0,00668896299331104;0,0100334449899666;0,0635451509364548;0;0;0;0,00334448199665552;0,00668896299331104;0;0,0267558529732441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00334448199665552;0;0;0;0;0;0;0;0;0;0;0,0100334449899666;0;0;0;0;0;0;0;0;0,00334448199665552;0;0;0,00668896299331104;0;0;0;0
"15";997;0,933333334866667;0;0;0;0,00333333300666667;0;0,01000000002;0;0,0333333330666667;0;0;0;0;0,00333333300666667;0;0;0,00333333300666667;0;0;0;0;0;0;0,00333333300666667;0;0;0;0;0;0;0;0;0;0;0;0;0,00333333300666667;0;0;0;0;0;0;0,00666666701333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";1055,5;0,405660377;0;0;0;0,018867925;0;0,075471698;0,075471698;0,311320755;0;0;0;0;0;0,075471698;0;0;0;0;0;0,009433962;0;0;0;0;0;0;0;0,009433962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,018867925;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17";1120,5;0,932798395;0;0;0;0;0;0;0,001003009;0,060180542;0;0;0;0;0;0;0;0,001003009;0,001003009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004012036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18";1178,5;0,848901099;0;0;0;0,002747253;0;0,005494505;0,016483516;0,076923077;0,002747253;0;0;0;0;0,005494505;0;0;0,002747253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002747253;0;0;0;0;0;0,035714286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19";1242;0,660714286660714;0,00595238100595238;0;0;0,00595238100595238;0;0,00892857100892857;0,0565476190565476;0,169642857169643;0;0,0297619050297619;0;0;0,00595238100595238;0;0;0,00892857100892857;0,00892857100892857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0238095240238095;0;0;0;0;0;0;0;0;0;0;0;0;0;0,014880952014881;0;0
"20";1299;0,92735042792735;0;0;0;0;0,00213675200213675;0,0128205130128205;0,00213675200213675;0,0491452990491453;0;0;0;0;0;0,00213675200213675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0042735040042735;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"21";1361;0,825949366174051;0,00316455699683544;0;0;0,0126582279873418;0,0126582279873418;0,0348101269651899;0,0126582279873418;0,0474683539525316;0;0;0;0;0,00949367099050633;0,0158227849841772;0;0,0158227849841772;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00949367099050633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"22";1428;0,978260869021739;0;0;0;0;0;0;0;0,0188405799811594;0;0;0;0;0;0;0;0,00289855099710145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23";1496,5;0,972835313027165;0;0;0;0;0,00169779299830221;0;0,00169779299830221;0,0186757219813243;0;0;0;0;0,00339558599660441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00169779299830221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24";1558;0,927097661072902;0;0;0;0;0,00550206299449794;0;0,00275103199724897;0,0577716639422283;0;0,00137551599862448;0;0;0;0,00137551599862448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00137551599862448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00275103199724897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"25";1618;0,348623853;0;0;0;0;0;0,00764526;0,247706422;0,360856269;0;0,001529052;0;0;0;0;0,003058104;0,006116208;0;0;0,001529052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003058104;0;0;0;0;0,006116208;0;0;0;0;0;0;0;0;0;0;0;0;0;0,013761468;0;0
"26";1680;0,0238095239761905;0;0;0;0;0,047619047952381;0;0,142857142857143;0,702380951297619;0;0;0;0;0,0357142859642857;0;0,0119047619880952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0238095239761905;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0119047619880952;0;0
"27";1737;0,0950819667147541;0;0;0;0;0,0163934429508197;0,0131147539606557;0,386885244839344;0,249180327252459;0;0,00327868899016393;0;0;0;0,00327868899016393;0,160655737518033;0,0196721309409836;0;0;0;0,0131147539606557;0;0;0;0;0;0;0;0;0;0;0,00655737698032787;0,00327868899016393;0;0;0;0,00327868899016393;0;0;0;0;0;0;0,00327868899016393;0;0;0;0;0;0,0196721309409836;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00327868899016393;0;0
"28";1817,5;0,0396825399206349;0;0;0;0;0,0119047619761905;0;0,0436507939126984;0,793650792412699;0;0;0;0;0,0119047619761905;0;0,0317460319365079;0,0119047619761905;0;0;0;0,023809523952381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00396825399206349;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0119047619761905;0;0;0;0;0,00396825399206349;0,00396825399206349;0;0;0;0;0;0;0;0,00396825399206349;0,00396825399206349;0
"29";1895;0,0309278350309278;0,00147275400147275;0;0;0;0,0103092780103093;0,00294550800294551;0,0486008840486009;0,66863033966863;0;0;0;0;0;0;0,0706921940706922;0,00736377000736377;0;0;0,00147275400147275;0,148748159148748;0;0;0;0;0;0;0;0;0;0;0,00147275400147275;0;0;0;0;0;0;0;0;0;0;0;0,00147275400147275;0;0;0;0;0;0,00589101600589102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"30";1955;0,0414746539585253;0;0;0;0,0046082949953917;0;0,0046082949953917;0,0368663589631336;0,612903225387097;0;0,0276497699723502;0;0;0;0;0,230414746769585;0,0138248849861751;0;0;0;0,00921658999078341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00921658999078341;0,0046082949953917;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0046082949953917;0;0
