"";"";"Myrtaceae.undif.";"Trema.sp.";"Moraceae.Urticaceae.undif.";"Celtis.sp.";"Apocynaceae.undif.";"Weinmannia.sp.";"Elaeoecarpus.sp.";"Sapindaceae.undif.";"Sapotaceae.undif.";"Rubiaceae.undif.";"Euphorbiaceae.undif.";"Gunneraceae.undif.";"Ascarina.lanceolata";"Melastomataceae.undif.";"Asteraceae.undif.";"Poaceae.undif.";"Pandanus.sp.";"Araceae.undif.";"Cyathaceae.undif.";"Trilete.spore.undif.";"Monolete.spore.undif.";"Solanum.type";"Solanaceae.undif.";"Fabaceae.undif.";"Tiliaceae.undif.";"Bombacaceae.undif.";"Araliaceae.undif.";"Myrsina.sp.";"Altingia.sp.";"Dysoxylum.sp.";"Apiaceae.undif.";"cf..Anacardiaceae.undif.";"Antidesma.sp.";"Sum.unknown";"Rumex.sp.";"Alyxia.sp.";"Euphorbiaceae.type";"Selaginella.sp.";"Loranthus.insularum"
"12";2977;0,227424748317726;0,0100334449698997;0,0802675587591973;0,00668896297993311;0,0100334449698997;0,0568561868294314;0,0334448158996656;0,00668896297993311;0,0100334449698997;0,00334448198996655;0,0200668899397993;0,00668896297993311;0;0,0100334449698997;0;0;0,130434782608696;0,120401337638796;0,0167224079498328;0,0200668899397993;0,150501671548495;0,030100333909699;0;0;0,00334448198996655;0;0,00334448198996655;0,00334448198996655;0;0;0,00334448198996655;0,0200668899397993;0,00334448198996655;0,00668896297993311;0;0,00668896297993311;0;0;0
"13";3067;0,178217822356436;0,0726072611452145;0,0561056111122112;0,00330033000660066;0,019801980039604;0,194719472389439;0,00330033000660066;0,00330033000660066;0;0,0132013200264026;0,0165016500330033;0;0;0,00660066001320132;0;0,00660066001320132;0,0495049500990099;0,128712871257426;0,0429042900858086;0,0462046200924092;0,0759075911518152;0,00660066001320132;0;0;0,0231023100462046;0,00330033000660066;0;0;0;0;0;0,00990099001980198;0;0,0396039600792079;0;0;0;0;0
"14";3439,5;0,229773462540453;0,0744336568511327;0,0550161808899676;0,00647249198705502;0,00970873798058253;0,0226537219546926;0,01294498397411;0;0,0194174759611651;0;0,00323624599352751;0,00323624599352751;0;0,0161812299676375;0;0;0,0938511328122977;0,106796116786408;0,0420711969158576;0,0161812299676375;0,18122977263754;0,0517799348964401;0,00970873798058253;0;0;0;0;0;0;0;0;0,0323624599352751;0;0,00647249198705502;0;0,00647249198705502;0;0;0
"15";3528;0,174342104825658;0,0789473679210526;0,138157894861842;0;0,0296052629703947;0,276315788723684;0,00657894699342105;0;0,00328947399671053;0,00328947399671053;0;0;0,00328947399671053;0,00328947399671053;0;0;0,105263157894737;0,0526315789473684;0,00657894699342105;0,00328947399671053;0,0460526319539474;0,00986842099013158;0,0131578949868421;0;0,00986842099013158;0;0,00328947399671053;0;0;0;0;0;0;0,0164473679835526;0,0131578949868421;0;0;0;0,00328947399671053
"16";4034;0,0369230770369231;0,0646153850646154;0,304615385304615;0,00615384600615385;0,0184615380184615;0,0646153850646154;0,00307692300307692;0;0;0;0,0338461540338462;0,00307692300307692;0;0;0;0,00615384600615385;0,0553846150553846;0,0676923080676923;0,0553846150553846;0,0830769230830769;0,116923077116923;0,0184615380184615;0,0123076920123077;0,00307692300307692;0,00307692300307692;0;0;0,00307692300307692;0;0;0,00307692300307692;0,0276923080276923;0;0,00923076900923077;0;0;0;0;0
"17";4075;0,087248322;0,043624161;0,174496644;0,023489933;0,013422819;0,046979866;0,010067114;0,003355705;0;0;0,003355705;0,013422819;0;0,013422819;0;0;0,117449664;0,167785235;0,043624161;0,040268456;0,134228188;0,020134228;0;0,003355705;0,016778523;0;0;0;0;0;0,003355705;0,003355705;0,010067114;0,006711409;0;0;0;0;0
"18";4116;0,205298013410596;0,0132450330264901;0,109271523218543;0,00331125800662252;0,0132450330264901;0,135761589271523;0,0331125830662252;0,00662251701324503;0,00993377501986755;0,00331125800662252;0,00331125800662252;0,00331125800662252;0;0,00993377501986755;0;0;0,102649007205298;0,152317881304636;0,0165562910331126;0,0264900660529801;0,089403974178808;0,0264900660529801;0;0;0,00331125800662252;0;0;0;0;0;0,00331125800662252;0,00331125800662252;0;0,00993377501986755;0,00331125800662252;0,00993377501986755;0,00331125800662252;0;0
"19";4155;0,165016502330033;0,0330033000660066;0,0594059411188119;0,00330033000660066;0,0165016500330033;0,125412541250825;0,0297029700594059;0;0,00330033000660066;0;0,00330033000660066;0;0;0;0;0,00330033000660066;0,0990099011980198;0,0924092411848185;0,0396039600792079;0,0363036300726073;0,20132013240264;0,0264026400528053;0;0;0,00660066001320132;0;0;0;0;0;0,00330033000660066;0,0165016500330033;0,00330033000660066;0,019801980039604;0,00330033000660066;0,00330033000660066;0;0,00330033000660066;0,00330033000660066
"20";4194,5;0,151315788848684;0,0756578949243421;0,0855263159144737;0;0,00986842099013158;0,121710525878289;0,0230263159769737;0,00328947399671053;0;0;0,00328947399671053;0;0;0,00657894699342105;0;0;0,124999999875;0,141447367858553;0,0361842109638158;0,0328947369671053;0,0986842109013158;0,0197368419802632;0;0;0,00986842099013158;0;0;0;0;0;0,00328947399671053;0,0197368419802632;0,00657894699342105;0,0131578949868421;0,00328947399671053;0,00986842099013158;0;0;0
"21";4236;0,1829653;0,066246057;0,063091483;0,003154574;0,012618297;0,107255521;0;0,006309148;0,009463722;0,009463722;0,003154574;0;0;0,006309148;0;0;0,078864353;0,09148265;0,03785489;0,034700315;0,205047319;0,028391167;0,003154574;0;0,015772871;0;0,006309148;0;0;0;0;0,012618297;0,003154574;0,009463722;0;0;0;0;0,003154574
"22";4274;0,336666667336667;0,02000000002;0,11000000011;0,00333333300333333;0,00333333300333333;0,0866666670866667;0,0133333330133333;0;0;0,00333333300333333;0,00666666700666667;0;0;0,01000000001;0;0;0,0933333330933333;0,116666667116667;0,00333333300333333;0,02000000002;0,106666667106667;0,01000000001;0,00666666700666667;0;0,00333333300333333;0;0;0;0;0;0,00333333300333333;0,0166666670166667;0;0,0133333330133333;0,00333333300333333;0,01000000001;0;0;0
