"";"";"Alnus.glutinosa.type";"Arceuthobium";"Calluna.vulgaris";"Castanea.sativa";"Cryptomeria.japonica";"Daphne";"Ericaceae";"Frangula.azorica";"Hedera.azorica";"Ilex.perado";"Juniperus.brevifolia";"Ligustrum";"Myrica.faya";"Myrsine.africana";"Picconia.azorica";"Pinus";"Prunus.lusitanica";"Vaccinium.cylindraceum";"Vitis";"Anagallis";"Angelica.lignescens";"Apiaceae";"Apium";"Artemisia";"Asteraceae.Subfam..Asteroideae";"Asteraceae.Subfam..Cichorioideae";"Bellis.type";"Brassicaceae";"Campanulaceae";"Centaurium";"Chaerophyllum.azoricum";"Chenopodiaceae.type";"Chrysanthemum.type";"Daucus.carota";"Euphorbia";"Euphrasia";"Falcaria.type";"Gnaphalium.type";"Hydrangea";"Hypericum";"Illecebrum.verticillatum";"Lysimachia";"Lythrum.portula";"Mentha.type";"Plantago.coronopus";"Plantago.lanceolata.type";"Plantago.maior";"Poaceae";"Polygonum.persicaria.type";"Potentilla.type";"Ranunculus.cortusifolius.type";"Rubiaceae";"Rumex.acetosella.type";"Rumex.obtusifolius.type";"Sagina";"Scabiosa";"Senecio.type";"Silene.type";"Spergula.type";"Urtica";"Veronica";"Xanthium";"Anogramma.leptophylla.Pteris.cretica";"Botrychium.lunaria";"Cheilanthes.type";"Culcita.macrocarpa";"Diphasiastrum.madeirense";"Dryopteris.dilatata.type";"Dryopteris.filix.mas.type";"Huperzia.selago";"Huperzia.suberecta";"Hymenophyllum.tunbrigense.type";"Lycopodium.inundatum";"Monolete.fern.spore";"Ophioglossum.azoricum";"Ophioglossum.lusitanicum";"Osmunda.regalis";"Polypodium";"Pteridium.aquilinum";"Selaginella.kraussiana";"Trichomanes";"Trilete.fern.spore"
"11";367;0;0,00883218781374493;0,00196270840305443;0;0;0;0,0333660447586966;0;0,000981354201527214;0,0294406279525878;0,100098136182861;0;0,0549558390990667;0,0264965653480061;0,00490677100763607;0,000981354201527214;0;0,000981354201527214;0;0,0323846905571694;0,00981354201527214;0;0;0;0;0,016683023332734;0,00196270840305443;0;0;0;0;0;0;0,000981354201527214;0,00785083361221771;0;0;0;0;0;0,00294406260458164;0,00883218781374493;0,00294406260458164;0;0;0,00196270840305443;0,000981354201527214;0,124631993127813;0;0,0206084401388429;0,0107948962167994;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000981354201527214;0,0559371933005939;0;0;0,000981354201527214;0;0,00294406260458164;0;0;0,371933270980384;0;0;0,00588812520916328;0;0,0314033363556422;0,0068694794106905;0,016683023332734;0
"12";472;0;0,0033641711244701;0,0033641711244701;0;0;0;0,0353238010823776;0;0,000841042068543925;0,024390242790129;0,0815811604570039;0;0,0714886470835936;0,0395290171256861;0,00168208698738225;0,000841042068543925;0,00252312905592617;0,00420521319301402;0;0,0227081586530412;0,0142977294167187;0;0,000841042068543925;0;0;0,015979816404101;0,00168208698738225;0;0;0;0;0,000841042068543925;0;0;0,00925147130486637;0;0;0;0;0,000841042068543925;0,000841042068543925;0,0100925162237047;0,0033641711244701;0;0,000841042068543925;0,0109335582922486;0;0,126997477763086;0;0,0117746003607925;0,020185029597115;0;0;0;0;0;0;0;0;0;0,000841042068543925;0;0;0;0;0,0428931882501562;0;0;0;0;0,0033641711244701;0;0;0,383515562345185;0;0;0,0067283422489402;0;0,0269133718460552;0,00841042923632245;0,0067283422489402;0
"13";505;0,000821019055988291;0,00246305509571532;0,00821018019863515;0,00164203603972703;0;0;0,0295566487150865;0;0,000821019055988291;0,0139573073738045;0,080459768018874;0,000821019055988291;0,0566502444067073;0,0270935956916208;0,0123152713340775;0,00164203603972703;0,000821019055988291;0,00246305509571532;0;0,0270935956916208;0,00821018019863515;0,00164203603972703;0;0;0,000821019055988291;0,00903119925462344;0,00410509113544235;0;0;0;0;0;0;0;0,00903119925462344;0;0;0;0;0,00574712717516938;0;0,0106732352943505;0;0;0,000821019055988291;0,00903119925462344;0;0,13218390637865;0;0,0180623964369973;0,0139573073738045;0;0,000821019055988291;0;0;0,000821019055988291;0,000821019055988291;0;0;0;0;0;0;0;0,00164203603972703;0,0303776677710748;0;0;0;0;0,00246305509571532;0;0;0,447454836367487;0,000821019055988291;0;0,00328407207945406;0;0,00985221623836218;0,00574712717516938;0,00574712717516938;0
"14";530;0,00075757465344868;0,00303030375470386;0;0;0;0,00075757465344868;0,0340909082438275;0;0,00075757465344868;0,0242424248967218;0,0522727282015961;0;0,0568181812631973;0,0454545460387397;0,00151515187735193;0,00227272653080061;0;0,00530303028550448;0;0,028787877958323;0,00984848591756027;0;0;0;0;0,0212121211420179;0,00303030375470386;0;0;0;0;0;0;0;0,00606060493895316;0;0;0;0;0,00151515187735193;0,00075757465344868;0,0318181817130269;0,00227272653080061;0;0,00075757465344868;0,0128787871018096;0;0,127272729422562;0;0,0174242427338654;0,0174242427338654;0;0;0;0;0;0;0;0;0;0,00227272653080061;0;0,00151515187735193;0;0,00075757465344868;0,0500000016707955;0;0;0,00151515187735193;0,00075757465344868;0,00151515187735193;0;0;0,39015151973744;0;0;0,00530303028550448;0,00075757465344868;0,019696969264666;0,00909090869365702;0,00833333404020834;0
"15";553;0;0,0068027217374705;0;0;0;0,00185528806198175;0,025974025928969;0;0,00123685755152525;0,0272108852151881;0,0482374774686684;0;0,0377241813419282;0,045763760630924;0;0;0;0,00371057438926962;0;0,00247371683774437;0,0185528754157359;0;0;0;0;0,032158317155983;0,003092145613507;0;0;0;0;0;0;0;0,0105132961267401;0;0;0;0;0,00185528806198175;0;0,00742115051323312;0,00556586245125137;0;0;0,00371057438926962;0;0,0748299321734;0;0,00432900489972613;0,0210265922534802;0;0;0;0;0;0;0;0;0;0;0;0,00123685755152525;0;0;0,0871985163621219;0,00123685755152525;0;0,00247371683774437;0,000618428775762624;0,00494743367548875;0;0;0,469387754783424;0;0,000618428775762624;0,00371057438926962;0;0,0222634515396994;0,0098948673509775;0,0123685841887219;0
"16";586;0;0,00447427338898648;0,00298284892599099;0;0;0,000745711153197966;0,0231170759415308;0,000745711153197966;0;0,0231170759415308;0,0865026102273404;0;0,0700969432909896;0,0447427295766657;0,000745711153197966;0;0,00298284892599099;0,00596569785198198;0;0,00447427338898648;0,00447427338898648;0;0;0;0;0,0201342291721394;0,000745711153197966;0;0;0;0,00149142446299549;0;0;0;0,00521998454218445;0;0;0;0;0,000745711153197966;0,00149142446299549;0,00149142446299549;0,00298284892599099;0;0;0;0;0,0924683080793224;0;0,00596569785198198;0,0156599557831529;0;0,000745711153197966;0;0,000745711153197966;0;0;0;0;0;0;0;0,000745711153197966;0;0;0,0425055939604723;0;0;0;0;0,00596569785198198;0;0;0,481730054102354;0,000745711153197966;0;0,00298284892599099;0;0,0223713647883329;0,00521998454218445;0,0126771068571619;0
"17";596;0;0,00619194987873937;0;0;0;0,000773993296955421;0,0116099064605233;0;0,00232198164241426;0,0170278630423073;0,0773993804904341;0,00232198164241426;0,0719814239086502;0,0348297211331179;0,000773993296955421;0;0;0,00386996823632511;0,000773993296955421;0,00232198164241426;0,00773993822419821;0;0;0;0;0,014705883151441;0,00154798834545884;0;0;0;0;0;0;0,00154798834545884;0,0108359131635679;0;0;0;0;0;0,000773993296955421;0,00309597493936968;0,000773993296955421;0;0;0;0;0,103715170102398;0;0,0108359131635679;0,0247678012665055;0;0;0;0;0,000773993296955421;0;0;0;0;0;0;0,000773993296955421;0;0;0,0572755425087572;0;0;0,0100619198666125;0,000773993296955421;0,00154798834545884;0;0;0,427244585421716;0;0;0,00619194987873937;0;0,0541795675693875;0,0154798764483964;0,0131578948059822;0
"18";604;0;0,00817661483492798;0,00327064522293277;0;0;0;0,0335241215342432;0;0,00245298480599761;0,0147179070583896;0,104660670242597;0;0,0515126738155655;0,0490596890095679;0,00490596961199522;0;0;0,00245298480599761;0,000817662194531226;0,00817661483492798;0,0106295996409256;0;0;0;0;0,0188062144758536;0,00245298480599761;0;0;0;0;0;0;0;0,0065412922234616;0;0;0;0;0,00163532261146638;0;0,00408830741746399;0;0;0;0,00245298480599761;0,00163532261146638;0,0695012260968879;0;0,00981193744639437;0,0253475066993152;0,000817662194531226;0;0;0;0,00163532261146638;0;0;0;0;0;0,000817662194531226;0,000817662194531226;0;0;0,0621422734564911;0;0;0;0;0,00245298480599761;0;0;0,464431722979429;0;0;0,00327064522293277;0;0,00981193744639437;0,00981193744639437;0,00735895264039676;0
"19";613;0;0,00907911741077079;0;0;0;0;0,0486381317222365;0;0,000648508267528652;0,0246433208275674;0,0875486377661736;0,000648508267528652;0,0363164729738225;0,0466926069196506;0,00194552480258596;0,000648508267528652;0;0,00518806780559888;0;0,00324254133764326;0,00778210087571348;0;0;0;0;0,0233463042925101;0,00259403307011461;0;0;0;0,000648508267528652;0,000648508267528652;0;0;0,00713359260818483;0;0;0;0;0;0,000648508267528652;0,00518806780559888;0,00259403307011461;0;0;0,0012970165350573;0;0,0616083004035489;0;0,0123216604137837;0,0214007778245545;0,0012970165350573;0;0;0;0,000648508267528652;0;0;0;0;0,000648508267528652;0;0,00259403307011461;0;0;0,083009079893473;0,000648508267528652;0;0,00648508434065618;0;0,0012970165350573;0,000648508267528652;0;0,393644619977441;0;0;0,00389105127054157;0;0,069390402944632;0,0116731521462551;0,0116731521462551;0
"20";621;0,00184501898149308;0,00799508038925804;0,00246002484268778;0;0;0,000615005861194701;0,0239852397698652;0;0,00184501898149308;0,0159901593806071;0,118696187126936;0;0,0239852397698652;0,0356703567242004;0,00246002484268778;0;0;0,0012300117223894;0;0,00430504242627188;0,0104551052319458;0,000615005861194701;0;0;0,0012300117223894;0,0172201725009055;0,00430504242627188;0;0;0;0;0;0;0;0,00861008625045274;0;0;0;0;0;0;0,00246002484268778;0,00307503070388248;0;0;0,0012300117223894;0;0,0362853625853951;0;0,0104551052319458;0,0295202953164354;0;0;0;0;0,0012300117223894;0,00184501898149308;0;0;0,000615005861194701;0,00184501898149308;0;0,000615005861194701;0;0,00184501898149308;0,0578105775125724;0;0;0,000615005861194701;0,000615005861194701;0,00184501898149308;0;0;0,52460024563106;0;0;0,0012300117223894;0;0,0166051666397108;0,0135301359358283;0,00861008625045274;0
"21";628;0;0,00748847990109089;0,00230414691776742;0;0;0;0,021889400555484;0;0,00345622106760735;0,021889400555484;0,0691244241159719;0;0,0299539168405387;0,0478110599444516;0,00345622106760735;0,000576036383963743;0,000576036383963743;0,00172811053380367;0;0,00115207414983993;0,0149769584202693;0;0;0;0;0,0241935488551639;0,00230414691776742;0;0;0;0;0,000576036383963743;0;0;0,011520737352662;0;0;0;0;0,00115207414983993;0;0,00460829521744728;0,00403225745157109;0;0;0;0;0,0403225814252732;0;0,00633640575125096;0,0299539168405387;0,00115207414983993;0;0;0;0;0;0;0;0;0,00115207414983993;0;0,000576036383963743;0;0;0,0835253461522775;0;0;0,0069124421352147;0;0,00115207414983993;0;0;0,487903227645287;0;0,000576036383963743;0,00403225745157109;0,000576036383963743;0,0339861756740222;0,016705068954073;0,010368663202822;0
"22";635;0;0,00499168109795377;0,00277315536205418;0;0;0;0,00998336099069401;0;0,00166389369931792;0,0227398785486557;0,067665002404172;0;0,0116472546900119;0,0321686075027681;0,00166389369931792;0;0;0,00277315536205418;0;0;0,017748197450702;0;0;0;0;0,0288408213093458;0,00166389369931792;0;0;0;0;0;0;0;0,00776483646000796;0;0;0;0;0,00166389369931792;0;0;0,00277315536205418;0;0;0;0;0,0155296729200159;0;0,00055463083136813;0,0316139766714;0;0,00332778739863585;0;0;0,00055463083136813;0,00166389369931792;0;0;0;0;0;0,00055463083136813;0;0;0,0643372162107497;0;0;0,00055463083136813;0;0,00277315536205418;0;0;0,641153632755957;0;0;0,00166389369931792;0,00055463083136813;0;0,00721020562863983;0,00942873015932588;0
"23";642;0,000583090412396195;0,00466472329916956;0,00116618082479239;0;0;0;0,00699708494875434;0;0,00233236164958478;0,0274052482374317;0,0874635561334818;0;0,0169096208143002;0,0250728865878469;0,00349854247437717;0;0;0,00233236164958478;0;0;0,0250728865878469;0;0;0;0;0,0349854224533927;0,00408163288677337;0;0;0;0;0;0;0;0,010495626277942;0;0;0;0;0,00466472329916956;0;0,00116618082479239;0,00583090412396195;0;0;0;0;0,0215743441134697;0;0,000583090412396195;0,0431486882269395;0,00116618082479239;0,00116618082479239;0;0;0,00116618082479239;0,000583090412396195;0;0;0;0;0;0;0;0;0,0711370257315778;0;0;0,0116618071027344;0,000583090412396195;0,00174927123718859;0;0;0,559183672277456;0;0;0;0;0,00583090412396195;0,0110787166903382;0,00466472329916956;0
"24";649;0;0,00155199205460152;0;0;0;0;0,00620796719357423;0;0;0,032591825972809;0,0755302632516871;0;0,00724262822169796;0,00982928130442322;0,00310398308437118;0;0;0;0;0,00103466102812373;0,0144852564433959;0,0113812723341929;0,00155199205460152;0;0,00310398308437118;0,025349197751111;0,00206932205624746;0,000517331026477797;0;0;0;0;0;0;0,0103466113060691;0,000517331026477797;0;0;0;0,00206932205624746;0;0,00103466102812373;0,000517331026477797;0;0;0;0;0,00879461925146762;0;0,000517331026477797;0,061562337834769;0;0,00310398308437118;0;0;0,00362131411084898;0,000517331026477797;0;0,00155199205460152;0;0,000517331026477797;0;0,00103466102812373;0;0,00258665308272525;0,0450077603599574;0,000517331026477797;0;0,00206932205624746;0;0,00103466102812373;0;0;0,635799275057509;0;0;0,00206932205624746;0;0;0,0129332643887944;0,00672529719522017;0
"25";656;0;0,000295508129517155;0,000295508129517155;0;0;0;0,00886524803563285;0;0;0,0295508274771292;0,0265957451444281;0;0,00443262401781642;0,0109338059797825;0,0029550823327011;0;0;0,000591016259034309;0;0,000591016259034309;0,019208037756381;0;0;0;0;0,031914893550796;0,00177304981463248;0;0;0;0;0;0;0;0,010047281591231;0;0;0;0;0,000591016259034309;0;0,00118203355559817;0,00265957420318394;0;0;0;0;0,00502364027685073;0;0,000591016259034309;0,0478723408449588;0,000295508129517155;0;0;0;0;0;0;0;0;0,000295508129517155;0;0,00147754168511533;0;0;0,0644208033606263;0;0;0,010047281591231;0,000295508129517155;0,00147754168511533;0;0;0,690898346083271;0;0;0,00206855794414963;0;0,000295508129517155;0,0141843974795303;0,00827423177659854;0
"26";663;0;0,00173535827627914;0;0;0;0;0,00911062894916399;0;0,00260303684261828;0,0316702819663894;0,0802603034097976;0;0,0104121473704731;0,018221257898328;0,00260303684261828;0;0;0,00303687669758828;0;0,00173535827627914;0,017787418043358;0;0;0;0;0,0264642082811528;0,00260303684261828;0;0;0;0;0;0;0;0,00997830751550313;0;0;0;0;0;0;0,00173535827627914;0,00173535827627914;0;0;0;0;0,00520607368523656;0;0,00173535827627914;0,0290672451237711;0;0;0;0;0;0;0;0;0;0,000433839854970002;0;0,00130151842130914;0;0;0,0702819958942945;0,000433839854970002;0;0,0251626898598437;0;0,00260303684261828;0;0;0,622125812247375;0;0,00130151842130914;0,00216919698764828;0,000433839854970002;0;0,00780911052785485;0,00824295038282485;0
"27";702;0;0,00137236994285058;0,00274473884361516;0;0;0,000457456994978858;0,00457456578144459;0;0;0,0283623055523673;0,100640438855093;0;0,00548947872931631;0,0182982620836924;0,00137236994285058;0;0;0;0;0,000457456994978858;0,022872826823051;0,00137236994285058;0;0;0;0,029277218500239;0,00182982589574344;0;0;0;0;0;0;0,000457456994978858;0,00731930462505975;0;0;0;0;0,000914912947871719;0;0;0,00182982589574344;0;0;0;0;0,00548947872931631;0;0,00137236994285058;0,0329368713338119;0;0;0;0;0;0,000457456994978858;0;0;0;0,000457456994978858;0;0;0;0;0,0594693499483497;0;0;0,00182982589574344;0;0;0;0;0,651875568625296;0;0;0,000457456994978858;0;0;0,0128087833543761;0,00320219583859401;0
"28";743;0;0;0,000742942508638218;0;0;0;0,00742942043259319;0;0,00297176770765838;0,0208023774439504;0,254829122234083;0;0,005943536578764;0,0193164935901212;0,000742942508638218;0;0;0,00222882636246741;0;0;0,0148588408651864;0;0,00148588385382919;0;0;0,0267459140227144;0,000742942508638218;0;0;0;0;0;0;0;0,00891530428642238;0;0;0;0;0,00148588385382919;0;0;0,000742942508638218;0;0;0;0;0,00668647792395497;0;0,000742942508638218;0,0267459140227144;0;0;0;0;0,000742942508638218;0;0;0;0;0;0;0;0;0;0,0713224366182735;0,000742942508638218;0;0,0148588408651864;0;0,00297176770765838;0;0;0,480683505246432;0;0;0,00520059407012578;0,000742942508638218;0,000742942508638218;0,00965824679506059;0,00817236294123141;0
