"";"";"MYRTACEAE.1";"MYRTACEAE.2";"MYRTACEAE.3";"MYRTACEAE.4";"RHAMNACEAE.UNDET.";"ROSACEAE.UNDET.";"RUBIACEAE.UNDET.";"ULMACEAE";"Aryteria";"Ascarina";"Baccaurea";"Balanops";"Benistoma";"Calophyllum";"Calycosia";"Cleistocalyx";"Collospermum.comp";"Commersonia";"Dolicholobium";"Dysoxylum";"Elaeocarpus";"Elattostachys";"Embelia";"Guioa";"Heritiera..Sterc.";"Homalium";"Ixora";"Melicope";"Melochia..Sterc.";"Metrosideros";"Neonauclea";"Ophiorrhiza..Rub.";"Palaquium";"Parasponia..Ulm.";"Parinarium..Ros.";"Planchonella";"Psychotria";"Randia";"Streblus";"Tapeinospermum";"Timonius";"Turrillia";"CUNONIACEAE.C2";"CUNONIACEAE.C3";"Agathis";"Dacrydium";"Fagrea";"Ilex";"Pittosporum";"Podocarpus";"Quintinia";"Rapanea";"Symplocos";"ARALIACEAE";"ARECACEAE";"EPACRIDACEAE";"LEGUMINOSAE.1";"LEGUMINOSAE.2";"MALVACEAE";"RUTACEAE.UNDET.";"SOLANACEAE";"Acronychia.comp";"Antirrhoea";"Coprosma";"Dillenia";"Euodia";"Exocarpus";"Freycinetia";"Garcinia";"Geniostoma";"Jasminum";"Leea..Vit.";"Linocieria";"Medinilla.comp";"Myristica";"Neubergia";"Pandanus";"Phaleria";"Pleurandra..Dill.";"Polygala";"Polyscias";"Rubus.comp";"Schefflera";"Sphaerostephanos";"CASUARINACEAE";"EUPHORBIACEAE.UNDET.";"Trema.comp";"URTICACEAE.1";"URTICACEAE.2";"X.Celtis";"Acalypha";"Aleurites";"Alphitonia";"Ardisia";"Bischofia";"Claoxylon";"Dodonea";"Endospermum";"Glochidion";"Homolanthus";"Macaranga";"Maesa";"Mallotus";"Mussaenda";"Saurauia";"Pemphis.comp";"Pisonia";"AMARANTHACEAE";"APIACEAE";"ASTERACEAE..Tubuliflorae.";"POACEAE";"Clematis";"Scaevola";"CYPERACEAE.1";"CYPERACEAE.Elaeocharis";"MELASTOMATACEAE";"Haloragis.sim";"Lepironia.comp";"Polygonum";"Potamogeton.comp";"CYATHEACEAE";"TRILETE.UNDET.";"Dicksonia";"Dicranopteris";"Hymenophyllum";"Lycopodium";"Lycopodium.cernuum";"Lygodium";"Pteridium";"MONOLETE.A";"MONOLETE.B";"MONOLETE.UNDET.";"MONOSCABRATE";"Blechnum.comp";"Polypodium"
"11";1784;0,00898472798203055;0,00718777898562444;0,00269541899460916;0,000898472998203054;0;0;0;0,00628930898742138;0;0,0224617949550764;0;0,0188678959622642;0,0017969499964061;0,00269541899460916;0;0;0;0;0;0;0,00539083898921832;0;0,000898472998203054;0,000898472998203054;0;0;0;0;0,000898472998203054;0,00269541899460916;0;0;0;0;0,0017969499964061;0;0;0;0;0;0;0;0,00269541899460916;0,00359388899281222;0,0017969499964061;0;0,000898472998203054;0,00269541899460916;0;0,0017969499964061;0;0,0188678959622642;0,00628930898742138;0,00359388899281222;0,00628930898742138;0,000898472998203054;0,0017969499964061;0,00628930898742138;0;0;0;0;0,0017969499964061;0;0,000898472998203054;0;0;0,0296495939407008;0;0;0;0;0,000898472998203054;0;0;0;0,690026856619946;0;0,00449235899101528;0;0;0;0,00269541899460916;0;0,000898472998203054;0;0;0,00539083898921832;0,000898472998203054;0;0;0;0;0;0,00269541899460916;0;0;0;0;0,00628930898742138;0,00898472798203055;0;0;0;0;0;0;0;0;0;0,0017969499964061;0;0,000898472998203054;0;0;0;0,0107816979784366;0,00359388899281222;0;0;0,017969495964061;0;0;0,017969495964061;0,000898472998203054;0,033243492933513;0;0;0;0,00269541899460916;0;0;0;0,00628930898742138;0,00628930898742138
"12";1997;0,0208954949373135;0,0149253959552238;0,0134327969597016;0,00298506899104479;0;0;0;0,00447760898656717;0;0,0208954949373135;0;0,0492536868522389;0;0,00298506899104479;0;0,00298506899104479;0;0;0;0;0,0119402969641791;0;0,0104477969686566;0;0,00149253999552238;0,00149253999552238;0;0;0;0,00447760898656717;0,00149253999552238;0;0;0;0;0;0;0;0;0;0;0;0,00149253999552238;0,00597014798208956;0;0;0;0,00597014798208956;0;0,00149253999552238;0;0,0358208908925373;0,0164178959507463;0;0,00746268797761194;0,00298506899104479;0,00149253999552238;0,00746268797761194;0;0,00298506899104479;0;0;0;0;0;0;0;0,0223880939328357;0;0;0;0;0,00298506899104479;0;0;0;0,568656850294029;0;0,00149253999552238;0;0;0;0,00298506899104479;0;0;0;0;0,00597014798208956;0;0;0,00298506899104479;0;0;0;0,00298506899104479;0;0;0,00149253999552238;0;0,00447760898656717;0,0134327969597016;0,00298506899104479;0,00149253999552238;0;0;0;0;0;0;0;0;0;0,00149253999552238;0;0;0;0,00298506899104479;0,00149253999552238;0;0;0,0268656929194029;0,00597014798208956;0,00298506899104479;0,0149253959552238;0,00149253999552238;0,0283581929149254;0;0;0;0,00447760898656717;0;0;0;0,0119402969641791;0,00895521797313435
"13";2209,5;0,0199637020998185;0,027223202136116;0,00725953103629765;0,018148801090744;0;0;0;0,0036297600181488;0;0,030853002154265;0,0018148800090744;0,0290381021451905;0,0018148800090744;0,00725953103629765;0,00725953103629765;0,0036297600181488;0;0;0;0,0018148800090744;0,0108893010544465;0;0,0108893010544465;0;0;0,0036297600181488;0,0018148800090744;0;0;0,012704201063521;0,0018148800090744;0,00544465002722325;0;0;0,0018148800090744;0;0;0;0;0,0018148800090744;0,0018148800090744;0;0,0036297600181488;0,012704201063521;0;0;0;0,0199637020998185;0;0;0;0,043557203217786;0,012704201063521;0,0036297600181488;0,00544465002722325;0,0036297600181488;0;0,0326679031633395;0;0,0018148800090744;0;0;0,0018148800090744;0;0,0018148800090744;0;0;0,039927403199637;0;0;0;0;0,0036297600181488;0;0;0;0,397459033987295;0;0,00544465002722325;0;0;0;0;0;0,0018148800090744;0;0;0,0235935021179675;0,0036297600181488;0;0,0018148800090744;0;0;0;0,0036297600181488;0,0018148800090744;0;0;0;0,00907441104537205;0,021778602108893;0,0108893010544465;0;0;0,0018148800090744;0;0;0;0;0;0;0;0;0;0;0;0,00725953103629765;0;0;0;0,027223202136116;0,0036297600181488;0;0,036297603181488;0,00544465002722325;0,012704201063521;0;0,0018148800090744;0;0,0018148800090744;0;0;0;0,00725953103629765;0,0145191010725955
"14";2418;0,0257068888971724;0,0925449616298202;0,0179948929280204;0,00514138797943445;0;0;0;0,00514138797943445;0;0,0385603838457585;0;0,0282775878868897;0;0,00514138797943445;0;0,0102827959588688;0;0;0;0;0,0154241939383032;0;0,0154241939383032;0;0;0,00257068898971724;0;0;0,00257068898971724;0,00257068898971724;0,00257068898971724;0,00257068898971724;0;0;0;0;0,00257068898971724;0;0;0;0;0,00257068898971724;0,00514138797943445;0,0205655919177376;0;0;0;0,012853494948586;0;0,00257068898971724;0;0,0154241939383032;0;0;0,00257068898971724;0,00771207696915169;0,00257068898971724;0,0411310828354757;0;0;0;0;0;0;0,00257068898971724;0;0;0,0308482868766069;0;0;0;0;0;0;0;0;0,388174839447301;0;0;0;0;0;0;0;0;0;0;0,0745500687017997;0;0;0;0;0;0,00771207696915169;0,00514138797943445;0;0;0;0;0,00514138797943445;0,0154241939383032;0;0,00257068898971724;0;0;0;0,00257068898971724;0;0;0;0;0;0,00514138797943445;0;0;0,00514138797943445;0;0;0;0;0,0205655919177376;0;0,00257068898971724;0,0205655919177376;0,00257068898971724;0,012853494948586;0;0;0;0;0;0;0;0,00771207696915169;0
"15";2631;0,0151975941063832;0,00911853606382975;0,00455926803191488;0;0;0;0;0,0136777940957446;0;0,0182370921276596;0;0,0106382960744681;0;0,0106382960744681;0;0,00455926803191488;0;0;0;0,00607902704255319;0,0151975941063832;0;0,00151975901063831;0;0;0,00151975901063831;0;0;0,00151975901063831;0,00759877705319144;0;0,00151975901063831;0,00151975901063831;0;0;0,00455926803191488;0;0;0;0;0;0;0,00455926803191488;0,00911853606382975;0,00151975901063831;0;0;0,00455926803191488;0;0;0;0,0547111773829782;0,00151975901063831;0;0,00607902704255319;0,00151975901063831;0,00151975901063831;0,0136777940957446;0;0;0;0;0,00303950902127656;0;0;0,00151975901063831;0;0,0227963901595747;0;0;0;0;0,00151975901063831;0;0;0;0,501519792510639;0;0,0106382960744681;0;0;0;0,00303950902127656;0;0;0;0;0,0303950872127656;0,00151975901063831;0;0,00151975901063831;0;0;0;0,00303950902127656;0,00151975901063831;0;0,00303950902127656;0;0,00607902704255319;0,0151975941063832;0,00455926803191488;0,00151975901063831;0;0;0;0;0;0;0;0;0;0,00303950902127656;0;0,00455926803191488;0;0,077507567542553;0,00455926803191488;0;0;0,0121580950851067;0,00607902704255319;0;0,0364741852553193;0,00151975901063831;0,00607902704255319;0;0,00303950902127656;0;0,00303950902127656;0;0;0;0,00151975901063831;0,00151975901063831
"16";2836;0,0198238109008809;0,011013205944934;0,0022026409889868;0;0;0;0;0,00881057495594713;0;0,00440529197797354;0;0,014317207928414;0;0,00770925396145373;0;0,00330396198348019;0;0;0;0,0011013209944934;0,0022026409889868;0;0,0022026409889868;0;0;0;0;0;0;0,00330396198348019;0;0,0011013209944934;0,0011013209944934;0;0,0011013209944934;0;0;0;0;0;0;0;0;0,0121145069394275;0;0;0;0,00330396198348019;0;0,0011013209944934;0;0,0253304138733479;0,00440529197797354;0;0,0231278128843609;0,0011013209944934;0,0011013209944934;0,0176211099118944;0;0;0,0011013209944934;0;0;0;0,0011013209944934;0,0011013209944934;0;0,0330396188348019;0;0;0;0;0,0022026409889868;0;0;0;0,534141296329294;0;0,00550661297246694;0;0;0;0;0;0;0;0;0,0121145069394275;0,0011013209944934;0;0,0011013209944934;0;0;0;0,0011013209944934;0;0;0;0;0,00991189595044052;0,00440529197797354;0,0022026409889868;0;0;0;0;0;0;0;0;0,0011013209944934;0;0,0022026409889868;0;0;0;0,179515100102425;0;0;0;0,00660793396696033;0;0;0,011013205944934;0,0011013209944934;0,00550661297246694;0;0;0;0,0011013209944934;0;0;0;0,0022026409889868;0,00660793396696033
"17";3046,5;0,0302648116973519;0,0151324058486759;0,011349304886507;0;0;0;0;0,00252207097477929;0;0,011349304886507;0,00126103098738969;0,010088303899117;0;0;0;0;0;0,00126103098738969;0;0,00378310196216898;0,00630517293694827;0;0,00252207097477929;0;0;0,00630517293694827;0;0;0;0,00756620292433797;0;0;0,00630517293694827;0;0,00126103098738969;0;0,00252207097477929;0;0;0;0;0;0,00252207097477929;0,00882724391172756;0,00126103098738969;0;0;0,010088303899117;0;0,00504414194955858;0;0,0214376087856239;0,00504414194955858;0;0,0252207097477929;0,00126103098738969;0,00378310196216898;0,011349304886507;0;0;0;0,00252207097477929;0;0;0,00126103098738969;0;0;0,0226986087730139;0;0;0;0;0;0,00126103098738969;0;0;0,605296241947038;0;0,00378310196216898;0;0;0;0;0;0;0;0;0,00756620292433797;0;0;0;0;0;0;0,00126103098738969;0;0;0,00126103098738969;0;0,00378310196216898;0,00630517293694827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00630517293694827;0,0201765077982349;0,00126103098738969;0;0;0,0302648116973519;0;0,00126103098738969;0,0214376087856239;0,00126103098738969;0,0138714058612859;0;0;0,00126103098738969;0,00504414194955858;0;0;0;0,0163934068360659;0,00882724391172756
"18";3261,5;0,0571428978285713;0,0285713989142858;0,0265305989204082;0,00612244998163265;0,00204081999387754;0;0;0;0;0,0142856989571429;0;0,0306121989081634;0;0,00204081999387754;0,00204081999387754;0;0;0;0;0,00204081999387754;0,00408162998775511;0;0;0;0;0;0;0;0;0,0142856989571429;0;0;0;0;0,00204081999387754;0;0;0;0;0;0,00408162998775511;0;0,00204081999387754;0,00612244998163265;0,00204081999387754;0;0;0,0142856989571429;0;0,0163264989510205;0;0,0326530989020407;0,022448998932653;0;0,022448998932653;0,00408162998775511;0,00408162998775511;0,0142856989571429;0;0,00204081999387754;0;0;0,00204081999387754;0;0,00408162998775511;0;0;0,0122448999632653;0;0;0;0;0;0;0;0,00204081999387754;0,489795978530612;0;0,0142856989571429;0;0;0;0;0;0;0;0;0,00408162998775511;0;0;0;0;0;0;0,00408162998775511;0;0;0,00204081999387754;0;0,00408162998775511;0,0142856989571429;0,00816326997551019;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0102040999693877;0,00612244998163265;0;0;0;0,0285713989142858;0;0;0,022448998932653;0;0,00612244998163265;0;0;0;0,00408162998775511;0,00612244998163265;0;0;0,0122448999632653;0,00408162998775511
"19";3476,5;0,0708332832208339;0,0249999937250001;0,01874999579375;0,0145832968395837;0,00208332997708337;0;0;0;0;0,0104166978854163;0;0,0687499832437502;0,00416666895416664;0,00624999893125001;0;0;0;0;0;0;0,0104166978854163;0;0,00624999893125001;0;0;0,00208332997708337;0;0;0;0,0124999968625;0;0;0,00208332997708337;0;0,00416666895416664;0,00208332997708337;0;0;0;0;0;0,00208332997708337;0;0,0208332947708338;0,00416666895416664;0;0,00208332997708337;0,00833332790833339;0;0,00624999893125001;0;0,0249999937250001;0,0145832968395837;0;0,0104166978854163;0;0,00208332997708337;0,0124999968625;0;0,00624999893125001;0;0;0,00833332790833339;0,00208332997708337;0;0;0;0,01874999579375;0;0;0;0;0,00208332997708337;0;0;0;0,447916892072914;0;0,00624999893125001;0;0;0;0;0;0;0;0;0,0145832968395837;0,00208332997708337;0;0;0;0;0,00416666895416664;0;0;0;0;0;0,00208332997708337;0,0104166978854163;0,00208332997708337;0,00208332997708337;0;0;0;0;0;0;0;0;0;0;0;0;0,00416666895416664;0,0291666926791664;0;0;0;0,0333332916333338;0;0;0,0124999968625;0;0,0145832968395837;0;0,00208332997708337;0;0;0;0;0;0;0,00624999893125001
"20";3686,5;0,0695651947913044;0,0934782927195651;0,0152173989543478;0;0;0;0;0;0;0,0108695989673912;0;0,0369564968891305;0;0,0108695989673912;0;0,00434782998695651;0;0;0;0,00217390999347827;0,00869564897391305;0;0,0130434989608695;0;0;0;0,00217390999347827;0;0,00217390999347827;0,00434782998695651;0;0;0,00217390999347827;0;0,00434782998695651;0,00869564897391305;0;0;0;0;0,00434782998695651;0;0;0,0217390979347827;0;0;0;0,00434782998695651;0;0,0130434989608695;0;0,0130434989608695;0,00652173998043478;0;0,00869564897391305;0,00217390999347827;0;0,00652173998043478;0;0;0;0;0,00434782998695651;0;0;0,00217390999347827;0;0,023912997928261;0;0;0;0;0;0;0;0;0,356521973930434;0;0,0195651989413044;0;0;0;0,00869564897391305;0;0;0;0;0,00434782998695651;0;0;0;0;0;0;0;0;0;0;0;0,00652173998043478;0,00217390999347827;0,00652173998043478;0,00434782998695651;0;0;0;0;0;0;0;0;0,00217390999347827;0;0;0,00217390999347827;0;0,00869564897391305;0;0;0;0,119564991641305;0;0,00652173998043478;0,023912997928261;0,00217390999347827;0,00652173998043478;0;0;0;0,00217390999347827;0;0;0;0,00434782998695651;0,0130434989608695
"21";3889,5;0,0354222881416892;0,0899182693596731;0,00817438703269755;0;0;0;0;0,00817438703269755;0;0,0190735930762944;0;0,0599454792397819;0;0,0245231910980928;0;0,013623995054496;0;0;0;0,00817438703269755;0,0027247990108992;0;0,0027247990108992;0;0;0;0;0;0;0,013623995054496;0;0;0,013623995054496;0;0,00544958802179835;0,0245231910980928;0,0027247990108992;0;0;0;0;0,0027247990108992;0,00544958802179835;0,0190735930762944;0;0;0;0,00817438703269755;0;0,00817438703269755;0;0,0163487940653952;0,00817438703269755;0,0027247990108992;0,03269748913079;0,0027247990108992;0,00544958802179835;0,00544958802179835;0;0;0;0,0027247990108992;0,00544958802179835;0;0;0,0027247990108992;0;0,0108991960435968;0;0;0;0;0;0;0;0;0,226157921904632;0;0,03269748913079;0;0;0;0;0;0;0;0;0,0108991960435968;0,0027247990108992;0;0;0;0;0;0,0027247990108992;0;0;0;0;0,0163487940653952;0,0108991960435968;0;0;0;0;0;0;0;0;0;0;0;0,0027247990108992;0;0;0,00544958802179835;0,00817438703269755;0,0490462831961851;0;0;0,0762942733051771;0;0,0190735930762944;0,0299727901198912;0,0027247990108992;0,013623995054496;0;0;0;0,0027247990108992;0;0;0;0,00817438703269755;0,00817438703269755
"22";4095;0,0530786051592358;0,089172009267516;0,0106157010318471;0;0;0;0;0;0;0,0318471030955413;0;0,0318471030955413;0;0,0106157010318471;0;0,00212314000636942;0;0;0;0;0,00424628001273884;0;0,00849257102547771;0;0;0;0;0;0,00212314000636942;0,00212314000636942;0;0;0,00212314000636942;0;0,00212314000636942;0,00636943101910829;0;0;0;0;0;0,00636943101910829;0,00212314000636942;0,0106157010318471;0;0;0;0;0;0,00636943101910829;0;0,00636943101910829;0,00424628001273884;0;0,0233546020700638;0;0,00424628001273884;0,00849257102547771;0;0;0;0;0,00849257102547771;0;0;0,00212314000636942;0;0,0276008030828024;0;0;0;0;0,00212314000636942;0;0;0;0,348195036044585;0;0,0212314020636942;0;0;0;0,00636943101910829;0;0;0;0;0,0106157010318471;0;0;0;0;0;0;0;0;0;0;0;0,014862001044586;0,0127389010382167;0,00424628001273884;0;0,00212314000636942;0;0;0;0;0,00212314000636942;0;0;0;0,00849257102547771;0;0;0;0,00212314000636942;0,00212314000636942;0;0;0,11465001134395;0;0;0,029724003089172;0,00636943101910829;0,00849257102547771;0;0,00212314000636942;0;0;0;0;0;0,00636943101910829;0,0276008030828024
"23";4305,5;0,0230179;0,0460358;0;0;0;0;0;0;0;0,0306905;0;0,0741688;0;0,0102302;0;0,0358056;0,00255754;0,00255754;0;0;0,00767263;0;0,00255754;0;0,00255754;0;0;0,00255754;0,00255754;0,00511509;0;0;0,00511509;0;0;0,00255754;0;0;0;0;0;0,00255754;0,0102302;0,0383632;0;0;0;0,00511509;0;0,00767263;0;0,0127877;0;0;0,0460358;0;0,0127877;0,00255754;0;0;0;0;0;0;0,00511509;0,00255754;0,00767263;0,0383632;0;0;0;0;0,00511509;0;0;0;0,219949;0;0,0127877;0;0;0;0,0127877;0;0;0;0;0,0204604;0;0;0,00255754;0;0;0;0,00511509;0;0;0;0;0,0179028;0,0179028;0,00255754;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0127877;0,00511509;0,0204604;0;0;0,0716113;0,00255754;0,0179028;0,0537084;0,00767263;0;0;0;0;0,00767263;0;0;0;0,0127877;0,0230179
"24";4511,5;0,063953484872093;0,104650974790698;0,0290697929418604;0;0;0;0;0,0058139489883721;0;0,0494185879011628;0;0,0436046899127906;0,00290697899418604;0,0145348969709302;0;0,0232557939534884;0;0;0;0;0,0116278969767442;0;0;0;0;0;0;0;0,00290697899418604;0,00290697899418604;0;0;0,0058139489883721;0;0,00872092798255814;0;0;0;0;0;0;0;0,00872092798255814;0,0116278969767442;0,00290697899418604;0;0;0,00290697899418604;0;0,00872092798255814;0;0,0348836919302326;0,0174418959651162;0,0058139489883721;0,0203487949593024;0;0;0,0145348969709302;0;0;0;0;0,0058139489883721;0;0,00290697899418604;0;0;0,0377906909244186;0;0;0;0;0;0;0;0;0,284883931430232;0;0,0058139489883721;0;0;0;0;0;0;0;0;0,0232557939534884;0;0;0;0;0;0;0,0116278969767442;0;0;0,00290697899418604;0;0,0116278969767442;0,0174418959651162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00290697899418604;0,0174418959651162;0,00872092798255814;0;0;0,0174418959651162;0;0,0058139489883721;0,0058139489883721;0,00872092798255814;0,0203487949593024;0;0;0;0;0;0;0;0;0,0116278969767442
"25";4717;0,023621989;0,068241469;0,005249338;0;0,005249338;0;0;0,007874016;0;0,028871387;0;0,039370082;0;0,026246688;0,002624669;0,002624669;0;0,002624669;0;0;0,005249338;0,005249338;0,010498695;0,002624669;0;0;0;0;0;0;0;0,005249338;0,007874016;0;0,010498695;0;0;0;0;0;0;0,002624669;0,015747993;0,007874016;0;0;0;0,002624669;0;0,007874016;0,002624669;0,013123394;0,002624669;0;0,083989462;0;0,002624669;0,034120685;0;0;0,002624669;0;0,005249338;0;0;0;0;0,041994781;0;0;0;0;0;0;0;0;0,275590876;0;0,010498695;0;0;0,002624669;0;0;0;0;0;0,010498695;0;0;0;0;0;0,007874016;0,007874016;0;0;0,002624669;0;0,013123394;0,018372692;0,005249338;0;0;0;0,002624669;0;0;0;0;0;0;0;0;0;0,002624669;0,002624669;0;0;0;0,083989462;0;0;0,023621989;0,002624669;0,005249338;0;0;0;0,002624669;0;0;0;0,026246688;0,007874016
"26";4932;0,0419847180419847;0,0610687260610687;0,0324427140324427;0;0;0;0;0;0;0,00954198400954199;0;0,0458015200458015;0;0,0152672070152672;0,0019084010019084;0,0019084010019084;0;0;0;0;0,0114504050114504;0;0,0019084010019084;0,0019084010019084;0;0;0;0;0;0;0;0;0,0267176110267176;0;0,00381679200381679;0,0152672070152672;0;0;0;0;0;0;0,0114504050114504;0,00572519200572519;0;0;0;0,00381679200381679;0;0,00763359300763359;0;0,00572519200572519;0,00381679200381679;0,00381679200381679;0,0419847180419847;0,00381679200381679;0;0;0;0;0;0;0,00763359300763359;0;0;0,00381679200381679;0;0,0381679160381679;0;0;0;0;0;0;0;0;0,314885135314885;0;0,00954198400954199;0;0;0;0;0;0,0019084010019084;0;0;0,00572519200572519;0;0;0;0;0;0;0;0;0;0,0019084010019084;0;0,00572519200572519;0,00381679200381679;0,0019084010019084;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00763359300763359;0,00954198400954199;0,00572519200572519;0;0;0,0744275320744275;0;0,00572519200572519;0,0839695360839695;0,0133588060133588;0,0209924090209924;0;0;0;0,0019084010019084;0;0;0;0,00572519200572519;0,0171756070171756
