"";"";"Asteraceae.lig.";"Asteraceae.tub.";"Dodonaea.T.mau.167";"Dodonaea.T.mau.128";"Erica.T.mau.141";"Ericales";"Trochetia.T.mau.146";"Trochetia.T.mau.174";"Poaceae";"Laurembergia.tetranda.type";"Cyperaceae";"Nymphoides.indica.type";"Onagraceae";"Pandanus.T.mau.131";"Pandanus";"Acalypha";"Allophylus.T.mau.90";"Aphloia.theiformis.type";"Araliaceae.type";"Bakerella.type.T.mau.169";"Psiloxylon.mauritiana";"Clematis.mauritiana.type";"Dracaena.type";"Eugenia";"Labourdonnaisia.type.T.mau.98";"Molinaea.T.mau.136";"Myrtaceae.undif.";"Nuxia.verticillata";"Olea.type.T.mau.153";"Pilea.Ficus.undif.";"Polyscias.type..Araliaceae.";"Rorippa.insularis.type";"Sapotaceae";"Syzygium";"Tambourissa.purpurea.type..T.mau.101b.";"Urticaceae.Moraceae.undif.";"Weinmannia";"Securinega.type..T.mau.8.";"Alchornea.type";"Artemisia.afra.type..T.mau.142.";"Cycadaceae.type";"Hydrocotyle.type..T.mau.135.";"Podocarpus.type";"Apiaceae.type";"Solanaceae.type";"Camellia.sinensis.type";"Cordia.type";"Euphorbiaceae.T.mau.112b";"Euphorbiaceae.T.mau.172";"Euphorbiaceae.T.mau.88.";"Fabaceae";"Melastomataceae";"Plantago";"Psidium.cattleianum";"Rubiaceae.type.T.mau.121";"Rubiaceae.type.T.mau.164";"Rubiaceae.type.T.mau.67";"Rubiaceae.type.T.mau.70";"Arecaceae.type.T.mau.127";"Arecaceae.type.T.mau.137";"Arecaceae.type.T.mau.139";"Arecaceae.tetrade.type.T.mau.2";"cf..T.mau.87";"not.Thalictrum.type";"T.mau.100";"T.mau.103";"T.mau.115";"T.mau.116..Proteaceae..";"T.mau.12";"T.mau.129b";"T.mau.130";"T.mau.132b";"T.mau.138..Solanaceae..";"T.mau.140";"T.mau.143..Monimiaceae..";"T.mau.143b";"T.mau.147";"T.mau.148";"T.mau.150";"T.mau.151";"T.mau.151b";"T.mau.152";"T.mau.154";"T.mau.157";"T.mau.158..Oenothera..";"T.mau.162";"T.mau.165";"T.mau.166..Solanaceae..";"T.mau.168";"T.mau.171";"T.mau.175";"T.mau.175a";"T.mau.175b";"T.mau.177";"T.mau.178";"T.mau.179";"T.mau.18";"T.mau.180";"T.mau.181";"T.mau.182";"T.mau.185";"T.mau.188";"T.mau.189";"T.mau.19";"T.mau.190";"T.mau.191";"T.mau.202";"T.mau.20b";"T.mau.213";"T.mau.28";"T.mau.35b";"T.mau.37";"T.mau.43";"T.mau.48";"T.mau.51";"T.mau.52";"T.mau.57";"T.mau.58";"T.mau.59";"T.mau.65";"T.mau.75";"T.mau.84";"T.mau.87";"T.mau.99";"Cyathea";"Lycopodium";"Pteris";"T.mau.124.Trilete.verrucate";"T.mau.125.Trilete..large";"T.mau.145.Trilete.echinate";"T.mau.161.Trilete";"T.mau.170";"T.mau.184.Trilete";"T.mau.34.Trilete.reticulate";"T.mau.53.Trilete.echinate";"T.mau.54a";"T.mau.54b";"T.mau.54c";"T.mau.56.Trilete";"T.mau.64.Trilete.foveolate";"T.mau.93.Trilete"
"11";1407;0;0;0;0;0;0;0;0;0,003999999817904;0;0,00999999954476;0,001999999908952;0;0,011999999453712;0,506000002122856;0,016000000469616;0,001999999908952;0;0;0;0,003999999817904;0;0,055999999846656;0,005999999726856;0;0;0;0,014000000560664;0;0,102000000148552;0;0;0,00999999954476;0,00999999954476;0,003999999817904;0,014000000560664;0,042000000483992;0,018000000378568;0,001999999908952;0;0;0,001999999908952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,026000000014376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001999999908952;0;0;0,001999999908952;0;0;0;0;0;0;0;0;0;0;0,007999999635808;0;0;0;0,00999999954476;0;0;0;0;0;0;0;0;0;0;0,068000000498368;0,014000000560664;0,003999999817904;0;0,011999999453712;0;0;0;0;0;0,003999999817904;0;0,011999999453712;0,001999999908952;0;0;0
"12";1561;0;0;0;0,00211864414360995;0;0;0;0;0;0;0,0233050843869129;0;0;0,00635593243082986;0,529661016817743;0,019067796099693;0;0,00211864414360995;0;0;0;0,00635593243082986;0,0550847453482656;0,00635593243082986;0;0;0;0,0127118648616597;0;0,122881355558191;0;0;0,00423728828721991;0;0,00423728828721991;0,0254237285305228;0,019067796099693;0,019067796099693;0,0105932207180498;0;0;0,00211864414360995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00211864414360995;0;0,0275423726741328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00847457657443982;0;0;0;0,00423728828721991;0;0;0;0;0;0;0;0;0;0;0,0593220336354855;0,00847457657443982;0,00211864414360995;0;0,00847457657443982;0;0;0;0;0;0;0;0,00847457657443982;0;0;0;0
"13";1708,5;0;0,00229357736888729;0;0;0;0;0;0;0;0;0,0160550455111102;0;0;0,0137614681422229;0,596330280924459;0,00458715604740763;0;0;0;0;0,00229357736888729;0;0,0825688075437042;0,00917431209481525;0;0;0;0,0183486241896305;0;0,0114678894637025;0;0,00229357736888729;0,00688073341629492;0;0;0,0206422015585178;0;0;0,00229357736888729;0;0;0;0;0;0;0;0,00229357736888729;0;0;0;0,00917431209481525;0;0;0;0;0;0;0;0;0,0114678894637025;0;0,0183486241896305;0;0;0;0,00229357736888729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0137614681422229;0;0;0;0,00229357736888729;0;0;0;0;0;0;0;0;0;0;0,119266055922965;0,00688073341629492;0,00458715604740763;0;0;0;0;0;0;0,00688073341629492;0;0;0,0114678894637025;0;0;0,00229357736888729;0
"14";1840,5;0;0;0;0;0;0;0;0;0;0;0,0181451611309671;0;0;0,0181451611309671;0,574596775135194;0,0060483870436557;0;0;0;0;0;0,00403225762991025;0,0846774198087604;0,00403225762991025;0;0;0,00201612941374545;0,0120967740873114;0;0,0766129033513593;0;0;0,00201612941374545;0,00403225762991025;0,00403225762991025;0,0201612905447125;0,0100806446735659;0,0060483870436557;0;0;0;0,00201612941374545;0;0;0;0;0;0,00403225762991025;0;0;0;0;0;0;0;0;0;0;0;0,00201612941374545;0;0,0201612905447125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00403225762991025;0;0;0;0,00201612941374545;0;0;0;0;0;0;0;0,00201612941374545;0;0;0,082661290395015;0,0100806446735659;0,00403225762991025;0;0,0060483870436557;0;0;0;0;0;0,00201612941374545;0;0,00806451645740115;0,00403225762991025;0;0;0
"15";2009,5;0;0;0;0;0;0,00223214239939413;0;0;0,00223214239939413;0;0,0133928567535077;0;0,00223214239939413;0,00892857195471939;0,62723214505118;0,00223214239939413;0,00223214239939413;0;0;0;0;0;0,0803571428781888;0,00669642837675383;0,00223214239939413;0;0,00669642837675383;0,0156250003314732;0,00223214239939413;0,0691964285240753;0;0;0,00669642837675383;0;0,00669642837675383;0,00892857195471939;0,0044642859773597;0,0044642859773597;0;0;0;0;0;0;0;0;0;0,00892857195471939;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0245535711076212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00669642837675383;0;0,00223214239939413;0;0;0;0;0;0;0;0;0;0;0;0;0,0558035717705676;0,0044642859773597;0;0;0,0111607143541135;0;0;0;0;0;0;0;0,00892857195471939;0,00223214239939413;0;0;0
"16";2082;0;0;0;0;0;0;0;0;0;0;0,00609756048984979;0;0;0,0223577238387988;0,542682925267363;0,00203252057181985;0;0,0040650411436397;0;0;0,00203252057181985;0,0040650411436397;0,117886178458234;0,0487804875956276;0;0;0,0040650411436397;0,0182926826951591;0;0,0223577238387988;0;0;0,0101626016334895;0;0;0,0182926826951591;0,0142276427771292;0,0182926826951591;0,00609756048984979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00203252057181985;0;0,0264227637568288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0162601621233393;0;0;0;0;0;0;0,00203252057181985;0;0;0;0;0;0;0;0,0630081303727568;0;0;0;0;0;0;0;0;0;0;0;0,0142276427771292;0,0142276427771292;0;0;0
"17";2167;0;0;0;0;0;0;0;0;0,00211864429610744;0;0,0148305088481758;0,00211864429610744;0;0,0190677962158144;0,516949150695131;0,0190677962158144;0;0,00423728859221488;0;0;0,00211864429610744;0;0,0614406772396581;0,016949151919707;0;0,00211864429610744;0;0,0254237291041367;0;0,0889830506399023;0;0;0,0148305088481758;0,00211864429610744;0,00211864429610744;0,0127118645520684;0,0275423721756679;0,00847457595985349;0,00211864429610744;0;0;0,00211864429610744;0;0;0;0;0;0;0;0;0;0,00423728859221488;0;0;0;0;0;0;0;0;0;0,0233050848080293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0127118645520684;0;0;0;0,00423728859221488;0;0;0;0;0;0;0;0;0;0;0,0783898303839414;0,00211864429610744;0,00211864429610744;0;0,0105932202559609;0;0;0;0;0;0;0,00423728859221488;0,0105932202559609;0;0;0;0
"18";2253;0;0;0;0,00193050167179231;0;0;0;0;0;0;0,00193050167179231;0;0;0;0,720077223537991;0,00193050167179231;0;0;0;0;0;0;0,0424710422717088;0,0250965250286668;0;0;0;0,00193050167179231;0;0,0675675683988313;0;0;0,00193050167179231;0,00386100334358462;0,00386100334358462;0,00579150611383253;0,00579150611383253;0,0193050189148343;0,00386100334358462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0405405405999165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00386100334358462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0250965250286668;0,00386100334358462;0;0;0,00772200778562484;0;0;0;0;0;0;0,00193050167179231;0,00579150611383253;0,00386100334358462;0;0;0
"19";2332;0;0;0;0;0;0;0;0;0,00267379639555749;0;0,00802139037116446;0;0;0;0,695187168264734;0;0;0;0;0;0,00267379639555749;0;0,0775401073160871;0,0347593578802153;0;0;0;0;0;0,0133689843467714;0;0;0,00534759397560697;0;0;0,00534759397560697;0,0160427807423289;0,0320855614846578;0,00267379639555749;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0347593578802153;0;0;0,00267379639555749;0;0,00267379639555749;0,010695186766722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0374331554602648;0,00267379639555749;0,00267379639555749;0;0;0;0;0;0;0;0;0;0,00802139037116446;0;0;0,00267379639555749;0
"20";2415,5;0;0;0;0;0;0;0;0;0;0;0,00234192023353389;0;0;0,0117096022636882;0,772833726387026;0,00234192023353389;0;0;0;0;0;0;0,0327868854615119;0,0234192034313576;0;0,00234192023353389;0;0;0;0,0421545663956474;0;0;0,00234192023353389;0,00234192023353389;0,00234192023353389;0,00702576070060166;0,00234192023353389;0,0117096022636882;0,00234192023353389;0;0,00234192023353389;0;0;0;0;0;0;0,00234192023353389;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0187353629642898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00234192023353389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0234192034313576;0,00702576070060166;0;0;0,00468384046706777;0;0;0;0;0;0;0,00702576070060166;0,0117096022636882;0;0;0;0
