"";"";"Alnus";"Amaranthaceae";"Araliaceae.cf..Didymopanax";"Asteroideae";"cf..Malpighiaceae";"cf..Solanaceae";"Cunoniaceae.cf..Weinmannia";"Dennstaedtiaceae..Hypolepis.type";"Dennstaedtiaceae..Pteridium.type";"Dicranopteris";"Dryopteris.undiff.";"Elaeocarpaceae.cf..Sloanea";"Garrya";"Ilex";"Lamiaceae";"Lophosoria";"Lycopodiella.cernua";"Myrica";"Myrsine";"Pilea";"Pinus";"Poaceae";"Polypodiaceae..Lepisorus.type";"Rubiaceae..Mitracarpus.type";"Rubiaceae..Tocoyena.type";"Sapindaceae..Dodonaea.type";"Urera";"Urticaceae.undiff.";"Cichorioideae";"Cyperaceae";"Pteridaceae..Pityrogramma.type";"Piper";"Hymenophyllaceae";"Loranthaceae";"Melastomataceae";"Polypodiaceae..Polypodium.pellucidum.type";"Unknown..trilete.6.";"Ericaceae";"Lycopodiaceae.cf..Huperzia";"Araliaceae.cf..Oreopanax";"Ophioglossaceae";"Pteridaceae..Pteris.type"
"12";506;0;0;0,00157109199842891;0,017282010982718;0;0;0;0,00314218399685782;0,295365278704635;0,00314218399685782;0;0;0,0141398269858602;0,00157109199842891;0;0,171249017828751;0,00157109199842891;0,00628436799371563;0,00471327599528672;0,00157109199842891;0,205027493794972;0,175962293824038;0,0377062059622938;0,00157109199842891;0;0;0;0,00157109199842891;0;0,00157109199842891;0,00157109199842891;0,0329929299670071;0;0,00942655099057345;0;0;0,0109976429890024;0;0;0;0;0
"13";576;0;0;0;0,015670911;0;0;0;0,003917728;0,186092067;0;0;0;0,011753183;0;0;0,094025465;0;0;0,005876592;0;0,286973555;0,258570029;0,054848188;0,009794319;0;0;0;0;0;0;0;0,05093046;0,005876592;0,003917728;0,001958864;0;0,009794319;0;0;0;0;0
"14";726;0;0;0,0021786490043573;0,0305010890610022;0;0;0,0021786490043573;0;0,165577342331155;0,0065359480130719;0;0;0,0043572980087146;0,0043572980087146;0;0,106753813213508;0,0021786490043573;0,00871459701742919;0,0021786490043573;0;0,248366013496732;0,300653595601307;0,0631808281263617;0;0;0;0;0,0021786490043573;0;0;0;0,0283224400566449;0;0,0065359480130719;0;0;0,0130718950261438;0;0,0021786490043573;0;0;0
"15";834,5;0;0;0;0,020930233;0;0;0;0,002325581;0,137209302;0;0;0;0,004651163;0,002325581;0;0,086046512;0;0,009302326;0,018604651;0;0,197674419;0,376744186;0,058139535;0,002325581;0;0;0;0;0;0;0;0,051162791;0;0,01627907;0,002325581;0;0,006976744;0;0,004651163;0,002325581;0;0
"16";951;0;0,00165975099834025;0,0033195019966805;0,0298755189701245;0;0;0,00165975099834025;0;0,0232365149767635;0,0232365149767635;0;0;0,006639003993361;0,00497925299502075;0,00165975099834025;0,124481327875519;0;0,00829875499170124;0,00995850599004149;0,00165975099834025;0,138589211861411;0,478008298521992;0,026556016973444;0;0;0;0;0,00497925299502075;0;0,00165975099834025;0;0,0863070539136929;0,00165975099834025;0;0;0;0,019917011980083;0;0;0;0,00165975099834025;0
"17";1072;0;0;0;0,0276497700829493;0;0;0;0;0,0714285712142857;0,00460829501382488;0;0,00230414700691244;0,00460829501382488;0;0;0,163594470490783;0;0,00691244202073733;0,00691244202073733;0;0,124423963373272;0,41474654524424;0,0345622121036866;0,00460829501382488;0;0;0;0;0;0;0;0,0898617512695853;0,00921659002764977;0,00691244202073733;0;0;0,0115207370345622;0;0,00691244202073733;0,00691244202073733;0,00230414700691244;0
"18";1191;0;0,00263504600527009;0;0,0263504610527009;0;0;0;0;0,028985507057971;0;0;0;0,0105401840210804;0;0;0,129117260258235;0;0,00790513801581028;0,0105401840210804;0;0,117259552234519;0,508563901017128;0,0237154150474308;0,00263504600527009;0,00263504600527009;0;0;0;0;0;0,00263504600527009;0,0922266141844532;0;0,0105401840210804;0;0,00263504600527009;0,0184453230368906;0;0;0;0,00263504600527009;0
"19";1377,5;0;0,00250312899749687;0;0,0275344179724656;0;0;0;0,00250312899749687;0,0425531909574468;0,00500625799499374;0;0;0,0350438049649562;0,00250312899749687;0;0,0525657069474343;0;0,0175219019824781;0,00500625799499374;0;0,068836044931164;0,538172715461827;0,0350438049649562;0;0,00250312899749687;0;0;0;0;0;0;0,12015018787985;0,0175219019824781;0,00500625799499374;0,00250312899749687;0,00500625799499374;0,00250312899749687;0;0,00500625799499374;0,00500625799499374;0;0
"20";1575;0;0;0,00263852200791557;0,0263852240791557;0;0;0;0;0,0211081790633245;0,00263852200791557;0;0;0,0211081790633245;0;0,00263852200791557;0,0448548811345646;0;0,018469657055409;0,0131926120395778;0;0,0501319261503958;0,609498682828496;0,0237467020712401;0,00527704501583114;0;0;0;0,00263852200791557;0;0,0079155670237467;0;0,121372032364116;0,0158311350474934;0,00263852200791557;0;0,00527704501583114;0,00263852200791557;0;0;0;0;0
"21";1776;0;0;0;0,0280612240280612;0;0;0,00255102000255102;0;0,0102040820102041;0,0433673470433674;0;0;0,0102040820102041;0;0;0,104591837104592;0,00255102000255102;0,0153061220153061;0,00510204100510204;0;0,0510204080510204;0,561224490561224;0,0127551020127551;0,00255102000255102;0;0;0;0;0;0,00765306100765306;0;0,112244898112245;0,0229591840229592;0,00510204100510204;0;0;0,00255102000255102;0;0;0;0;0
