"";"";"Agathis";"Araucaria";"Dacrydium";"Neocallitropsis";"Podocarpus";"OTHER.PODOCARPACEAE";"ACANTHACEAE";"Alyxia.Type";"AMARANTHACEAE";"Antidesma.Type";"APOCYNACEAE";"ARALIACEAE";"Argophyllum.Type";"Ascarina";"ASTERACEAE";"Austrobuxus.buxoides.Type";"Austrobuxus.Other";"Barringtonia";"Beauprea..";"CASUARINACEAE";"Celtis";"Cerberiopsis";"Citronella.Type";"Codia";"Corynocarpus";"CUNONIACEAE.ELAEOCARPACEAE";"Cupaniopsis.Type";"Desmodium.Type..";"DILLENIACEAE";"Dodonaea.Type";"EPACRIDACEAE";"ESCALLIONACEAE";"Euroshinus.Type";"Ficus";"FLACOURTICEAE";"Garcinia";"Geniostoma.Type";"GESNERIACEAE";"Glochidion.Type";"GOODENIACEAE";"Grevillea.Type";"GUTTIFERAE";"Hedycarya.Type";"Hibbertia.Type";"Homalanthus.Type";"Ilex";"Kermadecia.Stenocarpus";"Labiateae.Type";"LORANTHACEAE..";"Macaranga";"MALPIGHIACEAE";"Melaleuca";"Carpolepis.Type";"OTHER.MYRTACEAE";"Melastoma";"Meliaceae";"Meryta";"Myriophyllum";"Nepenthes";"Nothofagus";"Phyllanthus";"PIPERACEAE.Type";"Pittosporum..";"Planchonella.Type";"PROTEACEAE";"Psidium.guava";"Psychotira";"Rauvolfia";"Rhizophora";"RUBIACEAE";"RUTACEAE..";"SAPINDACEAE";"SAPINDACEAE.Sync..Type";"SAPOTACEAE";"Sloanea";"Smilax.";"SOLANACEAE";"Soulamia.Type";"Spathodea.Type";"STERCULICEAE";"Tapeinosperma.Type";"Trema..";"URTICACEAE";"VIOLACEAE.";"Colocasia.Type";"CYPERACEAE";"Flagellaria";"Palmae";"Pandanus.krauelianis.Type";"Other.PANDANACEAE";"POACEAE";"Lycopodium";"Monolete.Psilate.Small";"Monolete.Psilate.Medium";"Monolete.Psilate.Large";"POLYPODIACEAE";"Round.Hairy.Spore";"X340.Type";"Type.A";"Type.B";"Type.C";"Other.Monolete.Ferns";"Pteridium.esculentum";"Cyathaceae";"Trilete.Psilate";"Sphenomeris.Type";"NC.SS.32.Type";"Type.A.1";"Other.Trilete.Ferns";"Type.4";"Type.10";"Type.19";"Type.29";"Type.49";"Type.63";"Type.65";"Type.66";"Type.77";"Type.84";"Type.89";"Type.150";"Type.151";"Type.152";"Type.153";"Type.157";"Type.158";"Type.159";"Type.160";"Type.161";"Type.164";"Type.165";"Type.166";"Type.167";"Type.168";"Type.171"
"11";663;0,0028462999914611;0,0018975329943074;0,0047438329857685;0;0;0;0;0;0;0;0,0037950659886148;0;0;0,0028462999914611;0,000948766997153699;0,000948766997153699;0;0,0018975329943074;0;0,0559772298320683;0;0;0;0,000948766997153699;0;0,0028462999914611;0;0,0028462999914611;0;0;0;0;0;0;0;0;0,000948766997153699;0;0,000948766997153699;0;0;0,000948766997153699;0;0;0;0;0,0018975329943074;0;0;0,000948766997153699;0;0,0018975329943074;0;0,0104364329686907;0;0;0;0;0;0,0028462999914611;0;0;0;0;0;0;0;0;0;0;0,0028462999914611;0;0;0,0018975329943074;0;0;0;0;0;0;0;0;0,0018975329943074;0;0;0,244781783265655;0;0,0037950659886148;0,0047438329857685;0;0,0237191649288425;0,0265654649203036;0,0294117649117647;0,0085388989743833;0,130929790607211;0,0018975329943074;0;0,000948766997153699;0,0388994308833017;0,0455407968633776;0;0,000948766997153699;0,104364325686907;0,0037950659886148;0,009487665971537;0,0550284628349146;0,137571156587287;0;0,0151802659544592;0;0;0;0;0;0;0;0;0;0;0;0,0018975329943074;0;0;0;0,000948766997153699;0;0;0;0;0;0,000948766997153699;0;0;0;0
"12";906;0,000659630996042214;0;0;0;0;0;0;0;0;0;0,000659630996042214;0;0;0,00725593695646438;0,000659630996042214;0;0,000659630996042214;0;0;0,039577835762533;0,00131926099208443;0;0;0;0;0,0039577839762533;0;0;0;0,00329815298021108;0,000659630996042214;0;0;0;0;0;0,00197889198812665;0;0;0,000659630996042214;0,000659630996042214;0;0;0,00131926099208443;0,000659630996042214;0;0;0;0;0,000659630996042214;0;0,000659630996042214;0;0,0131926119208443;0;0;0;0;0;0,00197889198812665;0,000659630996042214;0;0;0;0;0;0;0,000659630996042214;0;0;0,00263852198416887;0;0;0;0,000659630996042214;0;0;0;0;0;0;0;0;0;0;0,24406332353562;0;0,000659630996042214;0,0039577839762533;0;0,0171503958970976;0,0171503958970976;0,0039577839762533;0;0,125329814248021;0,00131926099208443;0;0;0;0,0184696568891821;0,0501319256992084;0;0,212401053725594;0,00263852198416887;0,00263852198416887;0,113456463319261;0,0857519784854881;0,000659630996042214;0,0105540899366755;0;0;0;0;0;0;0;0;0;0;0;0,0039577839762533;0,000659630996042214;0;0;0;0;0;0;0;0;0;0;0;0;0
"13";1287;0;0;0,00120992099758016;0,000604960998790078;0;0;0;0;0;0;0,000604960998790078;0;0;0,00725952798548095;0;0;0;0;0;0,0744101628511797;0;0;0;0;0;0,00241984299516031;0;0;0;0,00725952798548095;0;0;0;0;0;0;0,000604960998790078;0;0;0,000604960998790078;0;0;0;0,00362976399274047;0;0;0;0;0;0,00181488199637024;0;0,000604960998790078;0;0,00544464598911071;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000604960998790078;0;0;0;0;0;0;0;0,00241984299516031;0;0;0;0,000604960998790078;0;0;0;0;0;0,193587416612825;0;0,00241984299516031;0,00181488199637024;0;0,00967937098064126;0,00362976399274047;0,0187537809624924;0,00423472499153055;0,0937689048124622;0;0;0,0120992139758016;0,0139140959721718;0,00362976399274047;0,00483968499032063;0,00241984299516031;0,329703568340593;0,00362976399274047;0;0,136116151727768;0,0320629159358742;0;0,0163339379673321;0;0;0;0;0,00120992099758016;0;0;0;0;0;0;0,00604960698790079;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14";1669,5;0;0;0,00118906100237812;0;0;0;0;0;0;0;0;0;0;0,00059453000118906;0;0;0;0;0;0,0267538640535077;0;0;0;0;0;0,00118906100237812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00059453000118906;0,00118906100237812;0;0;0;0;0;0;0;0;0,00059453000118906;0,00059453000118906;0,00475624300951249;0,00059453000118906;0;0;0;0;0,00059453000118906;0;0;0;0;0,00118906100237812;0;0;0;0;0;0;0;0;0;0;0,00059453000118906;0;0;0;0,00059453000118906;0;0;0;0;0;0,0184304400368609;0;0,00059453000118906;0,00118906100237812;0;0,00653983401307967;0,00891795501783591;0,0118906060237812;0,00237812100475624;0,154577883309156;0,00059453000118906;0;0;0;0;0;0,00118906100237812;0,412009512824019;0,00237812100475624;0;0,255648038511296;0,0671819261343639;0,00178359100356718;0,00891795501783591;0;0;0;0;0;0;0;0;0;0;0;0,00118906100237812;0;0;0,00059453000118906;0;0;0;0;0;0;0;0,0029726520059453;0;0;0
"15";2046;0;0,0135363789864636;0,00338409499661591;0,00338409499661591;0,00169204699830795;0;0;0;0;0;0;0;0;0;0,00169204699830795;0;0;0;0;0,0152284259847716;0;0;0;0;0;0,00338409499661591;0;0;0;0;0;0;0;0,00169204699830795;0,00169204699830795;0;0;0;0;0,00169204699830795;0;0;0;0;0;0;0;0;0;0,00676818999323181;0;0;0;0,00169204699830795;0;0;0;0;0;0,00507614199492386;0;0;0;0;0;0;0;0,0101522839898477;0;0;0;0;0;0;0;0;0;0;0,00169204699830795;0,00507614199492386;0;0;0;0;0;0,186125211813875;0,00169204699830795;0,00676818999323181;0,0439932319560068;0;0,00169204699830795;0,00338409499661591;0,035532994964467;0;0,111675126888325;0,00338409499661591;0;0,00676818999323181;0,00507614199492386;0;0;0,00338409499661591;0,416243654583756;0,00846023699153976;0;0,0524534689475465;0,0169204739830795;0;0,0118443319881557;0;0;0;0;0;0;0;0;0;0;0;0,00338409499661591;0,00338409499661591;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";2240;0;0;0,00168918899831081;0;0,00253378399746622;0;0;0;0;0;0;0;0;0,00675675699324324;0;0;0;0;0;0,0185810809814189;0;0;0;0;0;0,0109797299890203;0;0;0;0,000844594999155405;0;0;0;0,00337837799662162;0;0;0;0;0;0;0;0;0;0,00168918899831081;0;0;0;0;0;0,0126689189873311;0;0,00337837799662162;0;0,00844594599155405;0;0;0;0;0;0,00506756799493243;0;0;0,000844594999155405;0;0,00168918899831081;0;0;0,00253378399746622;0;0;0;0;0;0,00168918899831081;0;0;0;0;0;0,00253378399746622;0;0;0;0;0;0,158783783841216;0;0;0,0430743239569257;0;0,00506756799493243;0,00760135099239865;0,280405404719595;0,00591216199408784;0,0675675679324324;0,00337837799662162;0;0;0;0;0;0,00337837799662162;0,259290540740709;0,0109797299890203;0;0,0236486489763513;0,0228040539771959;0;0,0101351349898649;0;0,000844594999155405;0;0;0;0;0;0;0;0;0;0,00506756799493243;0,00337837799662162;0;0,00168918899831081;0,00168918899831081;0;0;0;0;0;0;0;0;0;0
"17";2742;0;0,00657894701973684;0,00219298200657895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0504385961513158;0;0;0;0;0;0,0460526321381579;0;0;0;0;0;0;0;0,00219298200657895;0;0;0;0;0;0;0;0;0;0,0109649120328947;0;0;0;0;0;0,0504385961513158;0;0,0043859650131579;0;0,0482456141447368;0;0;0;0;0,0131578950394737;0,00877193002631579;0;0,0153508770460526;0;0;0,00219298200657895;0;0;0,0197368420592105;0;0;0,0043859650131579;0;0;0;0;0;0;0;0;0,00877193002631579;0;0;0;0,00219298200657895;0,00219298200657895;0,0153508770460526;0;0;0,217105263651316;0;0;0;0,0153508770460526;0;0,00877193002631579;0,0043859650131579;0,375000001125;0;0;0;0;0;0,00657894701973684;0;0;0;0;0;0,00877193002631579;0;0;0;0;0;0;0;0;0;0;0;0,0328947370986842;0,0175438600526316;0;0;0;0;0;0;0;0;0;0;0;0;0
"18";2950,5;0;0,00851063802553191;0,00851063802553191;0;0,00425531901276596;0;0;0;0;0;0;0;0;0;0,00425531901276596;0;0;0;0;0,097872340293617;0;0;0;0;0;0,00851063802553191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0723404262170213;0;0;0;0,00851063802553191;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0212765960638298;0;0;0;0;0;0;0;0;0;0;0;0,0510638301531915;0;0;0;0;0;0,0382978721148936;0;0;0,263829787791489;0;0,00425531901276596;0;0;0;0,0382978721148936;0,00425531901276596;0,24255319172766;0,0255319150765957;0;0;0;0,0212765960638298;0,0212765960638298;0;0;0;0;0;0,00425531901276596;0;0;0;0;0;0;0;0;0;0;0;0,0127659570382979;0,00851063802553191;0;0;0,0255319150765957;0,00425531901276596;0;0;0;0;0;0;0;0;0
"19";3153;0;0,0106382980531915;0,00531914902659574;0;0;0,00265957401329787;0;0;0;0,00531914902659574;0;0;0;0,00265957401329787;0;0;0;0;0;0,0531914892659574;0;0;0;0,00797872303989361;0;0,0372340431861702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00265957401329787;0,17553191587766;0;0;0;0,0505319152526596;0;0;0;0;0;0,00531914902659574;0;0,0398936171994681;0;0;0;0,00265957401329787;0;0,0132978720664894;0;0;0;0;0;0;0;0;0;0;0;0,0239361701196808;0;0;0;0,00265957401329787;0;0,0319148941595745;0;0,00265957401329787;0,186170213930851;0;0;0;0,0186170210930851;0;0;0;0,207446810037234;0,00265957401329787;0;0;0;0,00797872303989361;0,0132978720664894;0,00265957401329787;0,00265957401329787;0;0;0;0,0132978720664894;0;0;0;0;0;0;0;0;0;0;0;0,0159574470797872;0,042553191212766;0,0106382980531915;0;0;0;0;0;0;0;0;0;0;0;0
"20";3365,5;0;0,00759493696962025;0,0202531649189873;0;0;0;0;0;0;0;0,00253164598987342;0;0;0,00253164598987342;0;0;0;0;0;0,116455695534177;0;0,00506329097974684;0;0,00506329097974684;0;0,0354430378582278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00253164598987342;0,00253164598987342;0;0;0;0;0;0,118987341524051;0;0;0;0,0354430378582278;0;0;0;0;0;0,0151898729392405;0;0,00253164598987342;0,00759493696962025;0;0;0;0;0,0126582279493671;0;0;0,00506329097974684;0;0;0,00253164598987342;0;0;0;0;0,0151898729392405;0,0506329107974684;0;0;0;0;0;0,0126582279493671;0;0;0,205063290179747;0;0;0;0,00253164598987342;0;0,0101265819594937;0;0,222784809108861;0,0151898729392405;0;0;0;0;0;0,00253164598987342;0;0,00253164598987342;0;0;0,00759493696962025;0,00253164598987342;0,00506329097974684;0;0;0;0;0;0;0;0;0;0,00759493696962025;0,030379746878481;0;0,00253164598987342;0,00506329097974684;0;0;0;0;0;0;0;0;0;0
