"";"";"Phylica.arborea";"Empetrum.rubrum";"Cyperaceae";"Poaceae";"Umbelliferae";"Acena.sp.";"Nertera.sp.";"Callitriche.christensenii";"Ranunculaceae";"Asteraceae";"Chenopodiaceae";"Rumex.frutescens";"Indet..Pollen.typ.Y.";"Indet.Tricolpate";"Plantago.maritima.Type";"Nothofagus";"Polypodiaceae";"Hymenophyllum.sp.";"Hypolepis.rugosula";"Lycopodium.insulare";"Vittaria.vittarioides";"Histiopteris.sp."
"28";3535;0,00873786400873786;0;0,916504854916505;0,0165048540165049;0,0281553400281553;0;0;0;0;0;0;0;0;0;0;0;0,0300970870300971;0;0;0;0;0
"29";3849;0,0049554010099108;0;0,976214074952428;0,0049554010099108;0,00396432100792864;0,00099108000198216;0;0,00099108000198216;0;0;0;0;0;0;0;0;0,00792864201585728;0;0;0;0;0
"30";3951;0,0151085930151086;0;0,805476865805477;0,0207743150207743;0,0812086870812087;0,000944287000944287;0;0,01983002801983;0;0;0;0;0;0;0;0;0,0566572240566572;0;0;0;0;0
"31";4046;0,0412044370412044;0;0,523771791523772;0,0713153720713154;0,048335975048336;0,00158478600158479;0;0,0990491280990491;0;0,000792393000792393;0;0;0;0,00237717900237718;0;0;0,20522979420523;0,000792393000792393;0,00158478600158479;0,00316957200316957;0,000792393000792393;0
"32";4163;0,013856813;0;0,113163972;0,056581986;0,392032333;0;0,001732102;0;0;0;0;0;0;0;0;0;0,419168591;0;0;0,003464203;0;0
"33";4217,5;0,0695488721390977;0;0,438596491877193;0,0382205510764411;0,0250626570501253;0,0263157890526316;0,00250626600501253;0,0150375940300752;0,000626566001253132;0,000626566001253132;0,00313283200626566;0;0;0,0037593980075188;0;0;0,37593985075188;0,000626566001253132;0;0;0;0
"34";4262;0,298106292;0,001221747;0,14111179;0,079413561;0,010995724;0,039095907;0;0,021380574;0;0;0;0,001221747;0;0,01893708;0;0;0,387904704;0;0,000610874;0;0;0
"35";4306;0,0782085561564171;0;0,431818182863636;0,0581550801163102;0,0180481280360963;0,0140374330280749;0;0,0307486630614973;0,000668449001336898;0,000668449001336898;0,00868984001737968;0,0240641710481283;0;0,000668449001336898;0;0;0,331550802663102;0;0,000668449001336898;0,0013368980026738;0,000668449001336898;0
"36";4352;0,0328638499671361;0,000782472999217527;0,64241001535759;0,0344287949655712;0,0320813769679186;0,00469483599530516;0,00156494499843505;0,0273865409726135;0;0,00234741799765258;0,000782472999217527;0;0;0,00156494499843505;0;0;0,21830985878169;0;0;0,000782472999217527;0;0
"37";4560,5;0,0319314640638629;0;0,630062306260125;0,0467289720934579;0,0218068540436137;0,00856697801713396;0,000778816001557632;0,0264797510529595;0;0,000778816001557632;0,00155763200311526;0,00467289700934579;0;0,00545171301090343;0;0;0,22040498444081;0;0;0;0,000778816001557632;0
"38";4746;0,00693756199306244;0;0,966303270033697;0,00891972199108028;0,00297324099702676;0;0;0,00594648199405352;0;0;0;0;0;0;0;0;0,00693756199306244;0;0,00198216099801784;0;0;0
"39";4945;0,00684262;0;0,811339198;0,03030303;0,071358749;0,001955034;0;0,04398827;0;0,008797654;0;0;0;0,000977517;0;0;0,024437928;0;0;0;0;0
